EID,WSIN,WSEND,BSIN,BSEND,INCOUNT,ENDCOUNT
146880,1,,3,,4,
146907,1,,,,1,
146953,1,,,,1,
147006,1,,1,,2,
147037,3,3,,,3,3
147071,,,1,,1,
147078,,,5,2,5,2
147087,,,3,1,3,1
147140,1,,2,,3,
147182,2,,,,2,
147307,,,1,,1,
147316,2,2,,,2,2
147365,2,1,2,2,4,3
147392,,,1,,1,
147469,,,2,,2,
147476,1,,,,1,
147479,,,2,,2,
147523,1,,,,1,
147635,,,1,,1,
147668,1,,1,,2,
147688,2,,,,2,
147761,1,,,,1,
147769,,,7,,7,
147820,2,,1,,3,
147829,1,,1,,2,
147835,,,1,,1,
147842,1,,,,1,
147874,2,2,1,1,3,3
147910,1,,,,1,
147918,3,,,,3,
147920,,,1,,1,
147932,4,,1,,5,
147976,2,,2,,4,
148016,,,2,2,2,2
148056,,,1,1,1,1
148079,,,2,,2,
148092,1,,1,,2,
148107,,,1,,1,
148111,1,1,,,1,1
148145,,,1,,1,
148147,2,,3,,5,
148154,1,,,,1,
148173,,,1,,1,
148175,1,,,,1,
148208,1,,,,1,
148248,1,,,,1,
148327,,,1,,1,
148374,,,1,,1,
148400,4,,,,4,
148422,2,,1,,3,
148427,2,,,,2,
148459,1,,,,1,
148503,2,,,,2,
148504,,,1,,1,
148511,1,,,,1,
148529,1,1,,,1,1
148557,1,,,,1,
148576,1,,1,,2,
148577,1,,,,1,
148632,3,1,,,3,1
148634,6,,35,,41,
148681,1,,3,,4,
148738,1,,2,,3,
148751,1,,,,1,
148753,,,1,1,1,1
148857,,,6,,6,
148923,1,,,,1,
148936,,,1,,1,
148952,,,1,1,1,1
149005,,,1,1,1,1
149012,,,1,,1,
149021,1,,,,1,
149034,,,1,,1,
149036,,,2,,2,
149125,,,1,,1,
149158,5,3,13,4,18,7
149167,5,2,5,3,10,5
149174,,,1,,1,
149180,4,,,,4,
149185,,,2,2,2,2
149195,,,3,,3,
149233,,,1,,1,
149240,,,1,,1,
149322,1,,,,1,
149324,2,1,,,2,1
149346,,,1,1,1,1
149368,3,,2,,5,
149473,1,,1,,2,
149478,,,3,,3,
149493,,,1,,1,
149521,,,1,,1,
149548,1,,,,1,
149564,11,,1,,12,
149566,1,,,,1,
149580,,,1,,1,
149655,,,1,,1,
149667,9,3,2,,11,3
149679,,,1,,1,
149708,3,,4,,7,
149718,,,1,,1,
149745,,,1,1,1,1
149823,,,1,,1,
149882,,,1,,1,
149888,,,1,,1,
149926,1,,3,,4,
149935,1,,,,1,
149948,,,1,,1,
149980,1,,3,,4,
150040,1,1,1,,2,1
150049,,,3,1,3,1
150079,1,1,,,1,1
150090,,,4,2,4,2
150103,,,1,,1,
150112,1,,,,1,
150140,,,1,1,1,1
150144,1,,3,,4,
150164,,,2,,2,
150176,1,,1,,2,
150183,,,1,,1,
150208,,,1,1,1,1
150211,1,,,,1,
150225,,,1,,1,
150255,1,,1,,2,
150260,1,,,,1,
150307,,,1,1,1,1
150314,5,,1,,6,
150373,1,,,,1,
150463,,,2,,2,
150493,,,2,,2,
150531,,,1,,1,
150565,,,1,,1,
150599,1,,,,1,
150616,2,,2,2,4,2
150645,1,,,,1,
150646,1,,2,,3,
150690,,,1,,1,
150763,,,1,,1,
150841,1,1,,,1,1
150856,,,1,,1,
150903,1,,,,1,
150932,7,2,3,1,10,3
150935,3,1,,,3,1
150990,,,20,,20,
150999,,,2,2,2,2
151020,3,,,,3,
151101,,,3,,3,
151103,,,1,,1,
151121,,,10,2,10,2
151140,,,1,,1,
151174,5,,1,,6,
151191,,,3,2,3,2
151192,1,,3,,4,
151219,,,3,,3,
151245,,,1,,1,
151262,,,1,,1,
151318,,,1,,1,
151336,,,1,,1,
151357,3,,7,1,10,1
151366,9,,,,9,
151408,1,1,,,1,1
151435,,,1,,1,
151495,,,1,,1,
151504,,,1,,1,
151507,1,,,,1,
151533,,,2,,2,
151554,,,1,,1,
151565,1,,,,1,
151587,,,1,,1,
151589,1,,,,1,
151598,,,1,,1,
151658,32,,,,32,
151681,1,,3,1,4,1
151724,,,4,,4,
151728,,,1,,1,
151732,,,1,,1,
151774,2,1,,,2,1
151780,1,1,,,1,1
151783,,,1,,1,
151833,,,1,,1,
151886,,,1,,1,
151912,,,1,1,1,1
151932,,,1,,1,
151996,,,1,1,1,1
152004,,,1,,1,
152071,,,1,,1,
152123,3,,,,3,
152145,1,1,1,1,2,2
152147,1,,,,1,
152151,,,4,,4,
152165,,,3,,3,
152193,3,,,,3,
152226,,,1,,1,
152261,2,1,,,2,1
152271,,,1,,1,
152288,2,,,,2,
152357,1,1,1,,2,1
152375,1,,,,1,
152399,2,,,,2,
152417,,,1,,1,
152419,,,1,,1,
152438,,,2,,2,
152520,,,1,,1,
152550,,,1,,1,
152580,,,1,,1,
152619,1,,,,1,
152654,2,2,,,2,2
152697,,,1,,1,
152703,,,1,1,1,1
152723,1,,,,1,
152736,1,,,,1,
152769,1,,,,1,
152776,1,,,,1,
152781,1,,,,1,
152784,1,,,,1,
152831,1,,,,1,
152846,1,,,,1,
152848,,,2,,2,
152921,,,2,,2,
152961,1,,,,1,
152992,1,,,,1,
153034,,,1,,1,
153040,,,1,,1,
153070,8,,6,,14,
153074,,,4,2,4,2
153093,,,1,,1,
153104,,,1,,1,
153121,1,,,,1,
153134,,,1,1,1,1
153139,1,1,,,1,1
153145,,,2,,2,
153161,,,1,,1,
153189,2,1,2,,4,1
153200,1,,,,1,
153227,2,,,,2,
153248,1,,4,,5,
153257,7,,3,1,10,1
153263,1,,,,1,
153283,2,,,,2,
153291,,,1,,1,
153315,,,1,,1,
153406,,,1,,1,
153427,,,1,,1,
153496,1,,,,1,
153512,,,5,,5,
153523,,,2,,2,
153591,1,,1,,2,
153593,2,,,,2,
153617,,,3,,3,
153630,1,,,,1,
153637,,,1,,1,
153638,1,,1,,2,
153649,4,,14,5,18,5
153670,,,2,,2,
153683,,,1,1,1,1
153712,5,4,29,2,34,6
153738,,,3,,3,
153753,,,1,,1,
153790,,,5,,5,
153808,,,1,1,1,1
153816,4,,1,,5,
153824,1,1,1,,2,1
153825,,,1,,1,
153843,,,2,1,2,1
153907,,,2,,2,
153929,1,,,,1,
153938,11,2,1,,12,2
153964,,,5,2,5,2
153979,1,,1,,2,
153985,3,,1,,4,
153989,2,,1,,3,
154005,1,,,,1,
154035,,,1,,1,
154104,1,,,,1,
154121,,,1,,1,
154195,1,,4,,5,
154223,1,,,,1,
154243,1,,,,1,
154248,1,,2,,3,
154335,,,2,,2,
154355,2,1,,,2,1
154362,1,,,,1,
154448,,,1,,1,
154460,,,1,,1,
154471,,,1,,1,
154473,,,1,1,1,1
154495,1,,,,1,
154514,1,,,,1,
154518,3,,1,,4,
154563,,,1,,1,
154613,,,1,,1,
154628,1,,,,1,
154639,1,,,,1,
154738,,,2,,2,
154741,,,8,1,8,1
154752,,,1,,1,
154810,,,1,,1,
154870,1,,,,1,
154925,,,2,,2,
154953,,,1,,1,
154965,1,1,,,1,1
154983,,,1,,1,
155040,1,,,,1,
155069,,,2,,2,
155074,4,,2,,6,
155091,,,9,,9,
155139,,,1,,1,
155140,,,2,,2,
155152,2,1,1,,3,1
155240,,,3,,3,
155286,,,1,,1,
155328,,,1,1,1,1
155337,,,7,,7,
155342,,,1,,1,
155354,,,1,,1,
155385,1,,1,,2,
155420,,,1,1,1,1
155424,1,,,,1,
155428,,,2,,2,
155450,,,1,,1,
155465,,,1,,1,
155490,,,1,,1,
155503,,,1,,1,
155524,1,,,,1,
155528,1,,,,1,
155533,,,3,,3,
155568,,,1,,1,
155590,,,3,2,3,2
155635,1,1,25,10,26,11
155638,1,,4,,5,
155658,1,,,,1,
155688,,,1,,1,
155736,,,2,,2,
155738,,,1,,1,
155741,,,1,,1,
155777,1,,,,1,
155858,,,1,,1,
155877,,,1,,1,
155881,,,1,,1,
155905,,,1,,1,
155925,1,1,,,1,1
155931,1,,,,1,
155976,3,,2,,5,
155980,,,2,,2,
155993,,,1,,1,
155996,,,1,1,1,1
156019,,,1,,1,
156036,1,,,,1,
156045,1,,,,1,
156066,,,1,,1,
156067,,,1,,1,
156081,1,,1,,2,
156091,,,10,,10,
156224,,,1,,1,
156359,1,,,,1,
156364,,,1,1,1,1
156414,,,2,,2,
156417,,,1,1,1,1
156420,6,3,2,,8,3
156421,,,1,,1,
156432,,,1,,1,
156436,,,1,1,1,1
156455,,,1,,1,
156473,,,1,,1,
156474,1,,,,1,
156488,1,,,,1,
156501,1,1,2,1,3,2
156508,1,,,,1,
156516,4,1,,,4,1
156519,1,,,,1,
156531,,,2,,2,
156538,2,,1,,3,
156550,1,,2,,3,
156573,1,,,,1,
156579,,,1,,1,
156638,1,,,,1,
156717,,,1,,1,
156796,,,1,,1,
156806,,,1,,1,
156832,1,,1,,2,
156884,1,,,,1,
156887,1,,,,1,
156900,,,1,,1,
156912,1,,,,1,
156933,,,1,1,1,1
156970,,,2,1,2,1
156989,,,2,1,2,1
156997,1,1,21,4,22,5
157032,,,1,,1,
157060,,,2,,2,
157079,1,,1,,2,
157090,,,1,,1,
157145,2,,1,,3,
157185,1,1,,,1,1
157191,,,1,,1,
157198,4,2,,,4,2
157206,,,9,3,9,3
157209,,,1,,1,
157239,,,1,,1,
157243,,,1,,1,
157306,,,1,1,1,1
157350,1,,1,,2,
157379,,,1,1,1,1
157402,1,,1,,2,
157421,,,2,,2,
157428,,,6,,6,
157444,1,1,,,1,1
157567,6,2,4,2,10,4
157578,,,1,,1,
157580,2,,5,,7,
157609,,,3,1,3,1
157619,1,,,,1,
157664,,,5,2,5,2
157757,,,4,,4,
157788,1,,1,,2,
157839,,,1,,1,
157843,2,2,1,,3,2
157851,2,,,,2,
157856,,,1,1,1,1
157886,2,,,,2,
157920,1,1,5,2,6,3
157928,,,1,,1,
157954,,,1,,1,
157971,,,1,,1,
158010,3,,,,3,
158013,,,4,,4,
158014,9,1,3,,12,1
158141,,,5,,5,
158147,1,,,,1,
158149,,,1,,1,
158197,,,1,,1,
158214,,,1,,1,
158216,2,1,3,,5,1
158228,,,1,,1,
158230,,,4,2,4,2
158237,3,1,11,4,14,5
158238,,,2,,2,
158285,,,1,,1,
158313,1,,,,1,
158328,1,,,,1,
158332,,,7,,7,
158338,,,2,,2,
158365,,,1,1,1,1
158377,3,3,,,3,3
158381,14,1,18,4,32,5
158385,6,1,5,1,11,2
158404,3,,1,1,4,1
158454,,,1,,1,
158506,2,1,1,1,3,2
158570,,,5,4,5,4
158585,,,1,,1,
158590,,,1,,1,
158597,2,2,1,1,3,3
158610,,,1,,1,
158625,,,3,,3,
158640,2,,3,,5,
158649,,,3,2,3,2
158656,,,1,,1,
158673,1,,2,,3,
158684,,,2,1,2,1
158705,3,,1,,4,
158724,,,2,,2,
158737,,,1,,1,
158743,1,,1,,2,
158893,5,,4,,9,
158899,,,1,,1,
158903,2,1,1,,3,1
158904,,,1,,1,
158963,1,,,,1,
158967,3,,1,,4,
159055,,,1,,1,
159069,1,,,,1,
159077,1,,,,1,
159083,,,1,,1,
159098,,,1,,1,
159100,,,1,,1,
159107,2,,,,2,
159122,,,1,1,1,1
159137,,,1,,1,
159243,1,,,,1,
159249,1,,,,1,
159275,2,,,,2,
159333,2,,2,,4,
159360,1,1,1,1,2,2
159370,,,1,,1,
159373,,,1,,1,
159387,,,1,1,1,1
159401,,,1,,1,
159402,,,1,,1,
159407,2,,,,2,
159438,,,2,,2,
159475,,,1,,1,
159501,1,,,,1,
159509,,,1,,1,
159551,,,1,,1,
159590,,,21,8,21,8
159620,,,1,1,1,1
159687,2,,,,2,
159758,1,,,,1,
159783,1,,2,,3,
159799,3,,1,,4,
159854,,,1,,1,
159863,,,1,1,1,1
159902,,,1,1,1,1
159929,,,1,,1,
159932,,,1,,1,
159942,1,1,,,1,1
159959,1,,,,1,
159965,1,1,,,1,1
159975,2,,,,2,
159984,1,,1,1,2,1
160022,1,,3,2,4,2
160130,1,,,,1,
160156,,,1,,1,
160157,2,,1,,3,
160223,1,,3,,4,
160228,,,1,,1,
160239,,,6,4,6,4
160310,1,,1,,2,
160314,3,,1,,4,
160346,,,1,1,1,1
160354,,,1,,1,
160441,1,1,1,1,2,2
160442,,,1,,1,
160467,2,,,,2,
160477,,,1,,1,
160515,1,,,,1,
160548,2,,,,2,
160570,1,,1,,2,
160580,1,1,,,1,1
160600,,,1,1,1,1
160627,,,2,,2,
160642,,,1,,1,
160676,,,6,,6,
160684,1,,,,1,
160693,1,,,,1,
160712,6,,5,,11,
160720,1,,1,,2,
160726,1,1,1,,2,1
160740,2,1,2,,4,1
160748,,,1,,1,
160790,,,1,,1,
160863,,,5,,5,
160938,,,1,,1,
160961,3,1,1,,4,1
161003,,,1,1,1,1
161011,,,1,,1,
161024,,,1,,1,
161118,,,1,,1,
161144,,,1,,1,
161199,2,,,,2,
161210,,,1,,1,
161229,1,,,,1,
161262,,,1,,1,
161286,1,,,,1,
161301,1,,,,1,
161304,,,1,,1,
161307,,,1,,1,
161312,,,1,,1,
161320,1,1,,,1,1
161390,,,1,,1,
161392,1,,3,,4,
161422,,,1,,1,
161424,1,,1,,2,
161426,2,,1,,3,
161443,,,1,,1,
161473,,,2,,2,
161500,1,1,,,1,1
161532,2,,1,,3,
161535,,,1,,1,
161567,2,,,,2,
161598,3,2,4,1,7,3
161611,1,,,,1,
161650,,,1,,1,
161656,,,1,,1,
161686,,,1,,1,
161693,2,,,,2,
161725,1,,,,1,
161733,,,1,,1,
161734,,,1,1,1,1
161753,,,1,,1,
161773,1,,1,,2,
161788,,,3,,3,
161832,1,1,2,,3,1
161882,1,,18,3,19,3
161897,,,1,,1,
161985,,,2,,2,
161996,,,1,,1,
162015,,,1,,1,
162033,,,2,,2,
162053,1,,1,,2,
162092,1,,,,1,
162097,,,1,,1,
162108,1,,,,1,
162111,,,1,,1,
162174,2,,,,2,
162178,,,2,,2,
162188,,,2,1,2,1
162202,1,,1,,2,
162214,,,1,,1,
162217,,,1,,1,
162239,,,1,,1,
162259,1,1,,,1,1
162273,1,,,,1,
162304,4,,1,,5,
162374,1,1,3,,4,1
162412,,,1,,1,
162438,1,,,,1,
162441,,,1,,1,
162496,,,1,,1,
162546,1,1,,,1,1
162624,3,,8,1,11,1
162626,,,1,1,1,1
162633,,,1,,1,
162729,3,,,,3,
162745,,,1,1,1,1
162769,2,1,1,,3,1
162778,,,2,,2,
162787,,,1,,1,
162806,,,1,,1,
162820,,,3,,3,
162837,,,1,1,1,1
162890,,,5,,5,
162941,1,,,,1,
162981,,,1,,1,
162986,1,,,,1,
163048,3,,,,3,
163085,,,1,,1,
163092,,,4,,4,
163129,1,,,,1,
163173,,,1,1,1,1
163177,2,,,,2,
163211,1,,,,1,
163255,,,1,,1,
163335,,,2,2,2,2
163375,1,,,,1,
163381,,,1,,1,
163384,,,3,,3,
163411,,,1,,1,
163425,,,3,,3,
163431,1,,1,,2,
163470,,,1,,1,
163475,,,1,,1,
163541,2,,,,2,
163551,1,1,1,,2,1
163589,,,1,1,1,1
163606,,,1,1,1,1
163627,,,1,1,1,1
163640,,,1,,1,
163650,3,,1,,4,
163671,2,,5,,7,
163699,,,1,,1,
163733,,,1,,1,
163740,,,1,,1,
163756,,,1,,1,
163807,,,4,2,4,2
163828,1,,2,,3,
163840,,,3,,3,
163873,1,,,,1,
163882,,,3,,3,
163926,1,,,,1,
163931,,,1,,1,
163943,,,1,,1,
163948,,,1,,1,
163955,1,1,,,1,1
164015,,,1,,1,
164027,3,,7,1,10,1
164108,,,1,,1,
164116,1,,,,1,
164135,,,1,,1,
164151,,,1,,1,
164163,2,1,5,1,7,2
164307,,,1,,1,
164318,,,5,,5,
164342,,,1,,1,
164373,,,2,,2,
164449,2,,1,1,3,1
164501,1,,2,,3,
164503,,,1,,1,
164581,,,1,1,1,1
164603,,,1,,1,
164605,3,1,,,3,1
164642,,,2,,2,
164643,,,1,,1,
164655,1,,,,1,
164685,1,,4,,5,
164735,1,,1,,2,
164745,,,3,,3,
164754,,,1,1,1,1
164756,1,,,,1,
164767,11,4,2,,13,4
164774,,,1,,1,
164810,,,3,,3,
164831,1,,,,1,
164849,2,,,,2,
164885,,,4,,4,
164896,,,1,,1,
164899,1,,,,1,
164917,5,,,,5,
165025,,,3,,3,
165083,14,,,,14,
165105,,,1,,1,
165122,1,1,2,2,3,3
165130,,,1,,1,
165161,1,,,,1,
165199,,,1,,1,
165249,5,,1,,6,
165317,,,1,,1,
165390,7,,,,7,
165426,,,1,1,1,1
165447,4,,3,,7,
165448,1,1,,,1,1
165478,,,1,,1,
165485,1,,7,,8,
165494,1,,5,1,6,1
165495,1,,4,,5,
165497,,,1,1,1,1
165525,1,,,,1,
165576,3,,5,1,8,1
165607,2,1,,,2,1
165674,1,,,,1,
165721,1,,5,2,6,2
165786,,,1,,1,
165793,2,,3,1,5,1
165799,1,,,,1,
165802,1,,,,1,
165808,,,1,1,1,1
165850,,,4,,4,
165861,,,1,,1,
165906,,,1,,1,
165915,2,,1,,3,
165929,1,,,,1,
166007,2,1,,,2,1
166048,,,5,3,5,3
166058,,,2,1,2,1
166080,,,1,,1,
166093,4,,1,,5,
166102,1,,1,,2,
166148,,,2,1,2,1
166151,,,2,,2,
166157,1,1,,,1,1
166274,,,3,,3,
166309,1,,2,,3,
166351,1,,,,1,
166366,1,1,,,1,1
166424,1,,1,,2,
166458,1,,,,1,
166503,,,2,,2,
166505,,,1,,1,
166530,,,1,,1,
166549,1,,,,1,
166613,,,1,,1,
166668,3,,,,3,
166836,1,1,1,,2,1
166837,,,6,,6,
166839,1,,,,1,
166887,2,,,,2,
166958,1,,,,1,
166972,1,1,1,1,2,2
166981,,,1,,1,
167039,1,,,,1,
167048,,,2,1,2,1
167050,10,,2,,12,
167278,,,1,,1,
167294,,,1,,1,
167331,2,,,,2,
167334,1,,1,,2,
167356,2,,,,2,
167392,,,1,,1,
167399,1,,,,1,
167404,,,1,,1,
167416,,,1,,1,
167468,,,1,,1,
167471,,,1,1,1,1
167493,,,1,1,1,1
167502,,,1,1,1,1
167503,,,1,,1,
167518,1,,,,1,
167524,,,1,,1,
167532,1,,,,1,
167571,1,1,1,,2,1
167582,,,4,,4,
167596,1,,,,1,
167605,,,1,,1,
167627,,,1,,1,
167634,,,5,,5,
167653,3,3,,,3,3
167663,,,2,,2,
167691,,,1,,1,
167736,2,,,,2,
167759,2,2,,,2,2
167798,1,,2,2,3,2
167844,,,2,2,2,2
167848,,,1,,1,
167863,1,,,,1,
167905,,,1,,1,
167926,1,,,,1,
167956,,,1,,1,
167963,1,1,,,1,1
167965,,,1,,1,
167981,,,1,,1,
167983,1,,,,1,
167984,,,4,,4,
168011,,,1,,1,
168043,,,1,,1,
168046,3,,,,3,
168076,1,,2,1,3,1
168081,1,,,,1,
168116,,,1,,1,
168166,1,,,,1,
168167,,,1,,1,
168189,3,2,4,2,7,4
168207,,,1,,1,
168313,1,1,5,5,6,6
168340,,,6,,6,
168362,1,,,,1,
168368,,,2,,2,
168415,,,1,,1,
168431,1,,,,1,
168440,,,2,2,2,2
168461,,,1,1,1,1
168487,1,,,,1,
168504,7,,1,,8,
168611,,,1,,1,
168641,1,,7,,8,
168657,,,1,,1,
168688,,,1,,1,
168716,2,,,,2,
168721,,,1,,1,
168724,4,,,,4,
168785,,,3,,3,
168805,,,1,,1,
168843,,,2,,2,
168884,,,1,,1,
168942,,,1,,1,
168967,2,,1,,3,
169012,8,8,,,8,8
169013,2,1,,,2,1
169022,,,2,,2,
169076,1,,3,,4,
169119,1,1,,,1,1
169157,,,2,,2,
169216,,,1,,1,
169221,,,1,,1,
169229,5,,1,,6,
169232,4,4,6,4,10,8
169238,,,2,,2,
169386,1,,2,,3,
169420,,,1,,1,
169466,2,,3,,5,
169550,1,,,,1,
169551,,,3,,3,
169557,4,3,,,4,3
169636,1,,,,1,
169659,,,4,4,4,4
169677,1,,1,,2,
169680,,,1,,1,
169706,,,1,,1,
169741,1,,3,1,4,1
169755,2,,,,2,
169762,,,1,,1,
169810,,,1,1,1,1
169812,2,1,2,,4,1
169855,1,,3,,4,
169857,,,1,,1,
169865,,,2,,2,
169873,2,,,,2,
169880,,,1,,1,
169893,3,,,,3,
169927,,,1,,1,
169938,3,3,10,3,13,6
169970,,,1,,1,
169974,3,,1,,4,
169991,,,1,,1,
170069,,,1,,1,
170075,1,,,,1,
170118,,,1,,1,
170164,,,2,,2,
170192,2,,,,2,
170239,,,1,,1,
170251,,,1,,1,
170256,2,2,1,,3,2
170263,,,2,,2,
170272,1,,,,1,
170277,1,,,,1,
170297,1,,,,1,
170352,,,3,1,3,1
170370,,,1,,1,
170384,1,,1,,2,
170403,,,1,,1,
170432,3,,,,3,
170475,,,1,,1,
170481,,,1,,1,
170537,,,1,1,1,1
170552,,,1,,1,
170561,,,1,1,1,1
170567,2,1,,,2,1
170610,1,,,,1,
170612,,,1,,1,
170630,,,1,,1,
170644,1,,,,1,
170676,2,,1,,3,
170707,,,1,1,1,1
170717,2,,,,2,
170719,2,1,6,4,8,5
170783,1,,1,,2,
170806,1,,,,1,
170821,1,,,,1,
170848,3,,,,3,
170857,1,1,1,,2,1
170863,1,,,,1,
170873,,,1,,1,
170884,3,,,,3,
170896,,,1,,1,
170982,2,,,,2,
171022,,,1,,1,
171030,,,1,,1,
171094,1,,,,1,
171097,1,,,,1,
171099,1,,,,1,
171117,1,,,,1,
171159,2,,,,2,
171251,,,3,2,3,2
171264,,,1,,1,
171269,,,1,,1,
171311,1,,,,1,
171335,,,1,,1,
171371,1,,2,,3,
171383,,,2,,2,
171421,,,1,,1,
171468,1,,,,1,
171538,,,1,,1,
171595,,,1,,1,
171636,4,,1,,5,
171658,,,4,,4,
171685,1,,1,,2,
171707,8,4,6,1,14,5
171735,,,1,1,1,1
171746,,,2,,2,
171772,,,1,,1,
171825,,,1,,1,
171826,1,,,,1,
171849,1,,1,,2,
171884,3,,42,10,45,10
171948,,,4,,4,
171971,,,1,,1,
172006,1,,,,1,
172020,1,,,,1,
172151,,,1,,1,
172163,1,,,,1,
172165,,,1,,1,
172190,,,1,,1,
172192,1,1,,,1,1
172217,,,1,,1,
172221,1,,1,,2,
172269,,,1,,1,
172291,1,,,,1,
172293,,,1,,1,
172348,,,1,,1,
172407,,,1,,1,
172427,,,2,1,2,1
172450,1,,,,1,
172478,,,1,,1,
172495,,,5,,5,
172533,,,1,,1,
172537,5,,1,,6,
172543,1,,,,1,
172591,2,,,,2,
172709,1,,,,1,
172747,,,1,,1,
172758,1,,,,1,
172772,,,1,,1,
172773,,,1,,1,
172836,1,,4,,5,
172852,15,6,,,15,6
172914,1,,,,1,
172917,,,1,,1,
172951,1,,,,1,
172966,,,1,,1,
173028,1,,1,,2,
173047,1,,1,,2,
173073,1,1,,,1,1
173130,9,1,1,,10,1
173134,1,,,,1,
173143,1,,,,1,
173146,1,,,,1,
173165,,,1,1,1,1
173197,,,1,,1,
173237,1,,,,1,
173259,1,1,,,1,1
173298,,,1,,1,
173331,1,,,,1,
173334,,,1,,1,
173363,1,,,,1,
173376,,,1,,1,
173410,,,1,1,1,1
173423,,,7,4,7,4
173520,1,1,,,1,1
173532,,,1,,1,
173533,,,1,,1,
173581,,,2,,2,
173590,2,2,,,2,2
173609,,,1,1,1,1
173652,2,,2,,4,
173661,,,1,,1,
173698,1,,2,,3,
173703,2,,,,2,
173814,,,3,,3,
173878,2,,,,2,
173915,,,1,,1,
173917,,,1,,1,
173919,7,,,,7,
173996,1,1,,,1,1
174011,1,,,,1,
174093,2,,1,,3,
174096,,,2,,2,
174120,1,1,1,,2,1
174126,1,,,,1,
174131,,,4,,4,
174182,,,1,,1,
174262,,,1,1,1,1
174280,,,1,,1,
174302,31,2,10,,41,2
174335,,,1,,1,
174347,,,1,,1,
174375,1,,,,1,
174422,2,1,3,,5,1
174434,1,,,,1,
174438,1,,,,1,
174440,,,8,2,8,2
174448,,,1,,1,
174500,,,1,,1,
174507,,,1,,1,
174515,,,1,,1,
174520,1,1,,,1,1
174528,1,1,,,1,1
174570,,,3,1,3,1
174595,3,1,,,3,1
174640,,,2,,2,
174656,,,3,2,3,2
174669,1,,,,1,
174689,,,1,,1,
174699,,,1,,1,
174716,1,1,5,1,6,2
174745,1,,3,,4,
174757,,,2,,2,
174780,,,1,,1,
174830,,,1,1,1,1
174864,,,1,,1,
174905,7,2,1,1,8,3
175080,1,,2,,3,
175163,1,,,,1,
175184,,,1,,1,
175209,,,3,,3,
175236,,,1,,1,
175241,,,1,,1,
175246,13,,1,,14,
175281,,,1,,1,
175304,2,1,,,2,1
175332,2,,3,,5,
175342,1,,1,,2,
175378,2,,,,2,
175400,1,,,,1,
175435,2,1,1,,3,1
175436,,,2,1,2,1
175546,,,1,,1,
175555,,,2,,2,
175571,1,,,,1,
175614,6,,4,,10,
175628,,,1,,1,
175670,1,,1,1,2,1
175674,,,2,2,2,2
175685,,,1,,1,
175740,4,2,5,,9,2
175801,,,1,,1,
175821,,,1,,1,
175837,1,,,,1,
175855,1,,,,1,
175881,,,1,,1,
175958,,,1,,1,
175990,,,3,,3,
176017,,,2,,2,
176035,,,2,1,2,1
176098,,,1,,1,
176177,,,1,,1,
176196,,,1,,1,
176237,1,1,,,1,1
176329,,,1,,1,
176367,2,,3,,5,
176378,2,,,,2,
176379,1,,,,1,
176388,,,2,1,2,1
176397,,,1,1,1,1
176425,1,,,,1,
176427,2,,,,2,
176461,,,1,,1,
176483,,,1,,1,
176598,1,,,,1,
176619,,,1,,1,
176626,,,1,1,1,1
176631,,,2,1,2,1
176636,,,2,,2,
176664,,,3,2,3,2
176817,1,,,,1,
176839,,,1,,1,
176888,,,1,,1,
176908,,,1,,1,
176935,,,2,,2,
176937,,,1,,1,
176961,1,,,,1,
176982,3,,,,3,
177068,3,1,1,,4,1
177089,1,,,,1,
177240,4,,1,,5,
177247,1,,,,1,
177318,,,1,,1,
177329,1,,,,1,
177358,,,1,,1,
177377,10,9,18,8,28,17
177403,,,1,1,1,1
177425,,,1,,1,
177438,3,,,,3,
177495,,,1,,1,
177538,2,1,6,,8,1
177540,1,,1,,2,
177587,1,1,1,,2,1
177598,,,1,1,1,1
177658,,,1,,1,
177669,1,,,,1,
177705,,,1,,1,
177752,,,1,,1,
177796,,,3,3,3,3
177846,1,,2,,3,
177897,,,1,,1,
177939,,,1,,1,
178009,1,,,,1,
178045,1,,,,1,
178061,2,1,2,,4,1
178094,,,1,,1,
178108,,,1,,1,
178131,1,,,,1,
178133,,,1,,1,
178221,1,,,,1,
178227,6,1,3,,9,1
178232,2,,,,2,
178242,,,2,,2,
178265,1,1,2,,3,1
178284,,,2,,2,
178308,1,,,,1,
178331,,,2,,2,
178338,1,1,,,1,1
178360,1,,,,1,
178376,,,1,1,1,1
178400,1,,1,,2,
178418,,,1,,1,
178435,,,1,1,1,1
178451,1,,,,1,
178504,,,1,,1,
178505,2,,5,,7,
178515,3,2,,,3,2
178516,1,,,,1,
178555,2,1,1,,3,1
178599,,,1,,1,
178612,6,2,,,6,2
178659,1,,1,,2,
178663,1,,,,1,
178672,,,1,,1,
178710,1,,,,1,
178720,,,1,,1,
178723,,,1,,1,
178732,,,2,2,2,2
178840,1,,2,,3,
178842,,,1,,1,
178844,,,1,,1,
178849,2,,,,2,
178854,,,5,4,5,4
178856,,,1,1,1,1
178893,1,,2,,3,
178934,,,1,1,1,1
178959,1,,,,1,
178990,,,2,,2,
179001,,,1,,1,
179002,1,,,,1,
179003,,,1,,1,
179013,,,4,2,4,2
179019,,,1,,1,
179020,,,1,,1,
179021,,,1,,1,
179057,,,1,,1,
179061,1,1,,,1,1
179068,2,,2,,4,
179110,1,1,,,1,1
179127,,,1,,1,
179154,1,,1,,2,
179176,,,1,,1,
179207,,,2,,2,
