EID,WSBR,WSENDBR,BSBR,BSENDBR,COUNTBR,ENDBR
112439,2,,,,2,
112474,,,1,1,1,1
112509,,,1,1,1,1
112539,,,1,,1,
112563,2,1,,,2,1
112636,,,4,3,4,3
112665,,,2,2,2,2
112729,,,1,,1,
112731,,,1,1,1,1
112743,,,1,1,1,1
112812,,,1,1,1,1
112828,,,1,1,1,1
112833,,,1,,1,
112850,,,3,,3,
112873,2,,,,2,
112919,1,,,,1,
112953,1,1,,,1,1
112962,,,1,,1,
112990,,,1,,1,
112992,11,,1,,12,
113021,,,1,,1,
113188,,,1,,1,
113201,3,,,,3,
113207,4,,,,4,
113213,,,1,,1,
113228,,,6,3,6,3
113230,,,2,2,2,2
113261,,,2,2,2,2
113273,1,,,,1,
113324,57,5,6,1,63,6
113338,,,3,2,3,2
113387,1,1,,,1,1
113438,,,1,1,1,1
113485,,,1,,1,
113486,,,1,,1,
113526,,,1,1,1,1
113604,,,1,,1,
113635,,,1,,1,
113644,,,1,,1,
113718,,,1,1,1,1
113719,1,,,,1,
113723,,,1,1,1,1
113745,1,,,,1,
113762,,,4,3,4,3
113807,,,1,1,1,1
113809,3,1,1,,4,1
113907,2,1,9,9,11,10
113937,,,1,,1,
113952,1,,2,,3,
113957,,,3,2,3,2
113975,1,1,,,1,1
113987,,,1,1,1,1
113996,,,1,,1,
114017,1,1,,,1,1
114086,,,2,,2,
114103,1,1,,,1,1
114133,1,,,,1,
114177,,,1,,1,
114181,,,2,,2,
114192,,,1,1,1,1
114205,,,1,1,1,1
114213,15,2,,,15,2
114231,,,3,1,3,1
114242,3,2,,,3,2
114270,,,2,,2,
114348,1,1,,,1,1
114450,1,,,,1,
114457,,,2,1,2,1
114467,1,,,,1,
114477,1,1,,,1,1
114496,,,3,,3,
114497,1,,1,,2,
114607,7,1,,,7,1
114616,,,2,,2,
114637,,,1,,1,
114655,,,1,1,1,1
114662,26,4,,,26,4
114675,,,1,,1,
114725,,,2,2,2,2
114729,,,1,1,1,1
114793,,,1,1,1,1
114822,,,1,,1,
114881,1,1,,,1,1
114896,,,1,,1,
114911,3,1,1,1,4,2
114916,,,2,,2,
114963,1,,,,1,
114972,5,4,,,5,4
114984,1,1,1,1,2,2
114996,,,1,1,1,1
115016,,,1,,1,
115044,,,1,1,1,1
115094,2,1,,,2,1
115112,,,1,1,1,1
115162,,,1,1,1,1
115181,,,1,,1,
115196,,,1,,1,
115317,7,,,,7,
115340,,,1,,1,
115425,1,,,,1,
115445,2,2,,,2,2
115487,,,1,,1,
115490,,,1,,1,
115495,,,1,,1,
115504,1,,,,1,
115517,,,1,1,1,1
115525,1,,,,1,
115527,,,2,1,2,1
115559,1,,,,1,
115642,1,1,,,1,1
115657,,,1,,1,
115718,,,2,1,2,1
115761,2,,,,2,
115778,,,1,1,1,1
115839,,,1,1,1,1
115857,2,2,,,2,2
115883,3,3,,,3,3
115893,,,1,1,1,1
115911,1,,,,1,
115961,1,1,1,,2,1
115976,,,4,2,4,2
116038,2,2,1,1,3,3
116065,1,,,,1,
116076,9,4,1,1,10,5
116100,1,1,,,1,1
116153,,,2,2,2,2
116179,,,1,1,1,1
116211,,,4,,4,
116215,,,1,,1,
116269,2,2,,,2,2
116271,,,1,,1,
116330,,,2,2,2,2
116338,,,1,,1,
116358,,,1,1,1,1
116384,,,1,1,1,1
116399,,,1,1,1,1
116425,,,1,1,1,1
116479,,,1,,1,
116491,,,2,,2,
116506,8,8,,,8,8
116519,,,1,,1,
116567,,,2,2,2,2
116575,1,1,2,,3,1
116620,,,4,2,4,2
116639,1,,,,1,
116676,,,1,,1,
116684,,,1,,1,
116705,,,1,1,1,1
116712,,,1,1,1,1
116729,,,1,1,1,1
116754,,,3,1,3,1
116776,,,1,1,1,1
116790,,,1,,1,
116804,1,,1,,2,
116806,7,1,1,,8,1
116822,1,1,,,1,1
116838,,,1,,1,
116839,2,1,1,1,3,2
116845,1,,,,1,
116850,,,1,1,1,1
116876,,,2,2,2,2
116880,1,,,,1,
116895,,,1,,1,
116903,1,1,,,1,1
116914,4,2,,,4,2
116917,2,1,,,2,1
116926,,,1,1,1,1
116938,,,1,1,1,1
117036,,,5,5,5,5
117115,1,1,,,1,1
117116,,,1,,1,
117141,,,1,1,1,1
117150,1,1,1,1,2,2
117172,,,1,,1,
117187,1,1,,,1,1
117250,,,1,,1,
117257,,,1,,1,
117282,,,1,,1,
117289,,,5,5,5,5
117348,9,3,1,,10,3
117374,,,1,,1,
117435,,,7,6,7,6
117436,,,1,,1,
117449,,,3,1,3,1
117495,1,1,5,5,6,6
117504,1,1,1,,2,1
117546,10,,,,10,
117569,3,3,1,1,4,4
117603,,,1,,1,
117670,,,1,,1,
117688,,,1,,1,
117719,7,,1,,8,
117725,,,3,3,3,3
117809,,,1,1,1,1
117842,5,,6,1,11,1
117888,,,2,2,2,2
117898,7,,,,7,
117919,,,1,1,1,1
117929,1,1,,,1,1
117961,1,,,,1,
118114,,,1,,1,
118151,,,1,1,1,1
118170,1,,,,1,
118185,,,1,1,1,1
118200,,,1,,1,
118217,,,2,1,2,1
118225,,,3,2,3,2
118276,,,1,1,1,1
118290,,,1,1,1,1
118325,1,,,,1,
118339,,,17,2,17,2
118420,47,12,15,1,62,13
118473,,,1,,1,
118507,,,1,1,1,1
118544,1,,,,1,
118547,,,2,,2,
118585,,,2,2,2,2
118622,4,3,1,1,5,4
118629,1,,,,1,
118634,,,1,,1,
118636,,,1,1,1,1
118656,,,1,,1,
118668,,,3,,3,
118691,1,,8,,9,
118695,16,1,3,1,19,2
118720,1,,,,1,
118732,1,,,,1,
118830,,,1,,1,
118838,,,1,1,1,1
118846,1,,,,1,
118870,1,1,,,1,1
118915,1,1,,,1,1
118996,,,1,1,1,1
119007,,,1,1,1,1
119021,,,1,,1,
119094,,,3,,3,
119117,1,1,,,1,1
119131,,,23,14,23,14
119136,,,1,,1,
119169,,,1,,1,
119174,2,,,,2,
119248,1,1,,,1,1
119291,2,1,,,2,1
119326,1,,,,1,
119333,1,,,,1,
119351,2,,,,2,
119411,1,1,,,1,1
119433,,,1,,1,
119473,1,,,,1,
119494,,,1,,1,
119550,1,,,,1,
119571,,,1,,1,
119589,7,,,,7,
119650,,,1,1,1,1
119757,,,2,,2,
119835,,,1,,1,
119842,1,1,,,1,1
119857,1,,3,,4,
119870,,,1,,1,
119875,,,1,,1,
120076,,,2,2,2,2
120100,1,,,,1,
120106,,,16,6,16,6
120116,1,1,,,1,1
120173,1,1,,,1,1
120176,,,1,1,1,1
120231,,,1,1,1,1
120268,,,2,1,2,1
120271,1,1,,,1,1
120291,8,7,,,8,7
120294,1,1,,,1,1
120300,,,1,,1,
120302,1,,,,1,
120308,1,1,,,1,1
120358,,,1,,1,
120360,,,1,,1,
120361,,,1,,1,
120403,,,1,1,1,1
120465,2,2,,,2,2
120489,,,1,,1,
120501,1,1,1,,2,1
120506,2,,,,2,
120553,,,1,1,1,1
120590,,,1,,1,
120591,,,1,,1,
120592,1,,,,1,
120635,,,4,1,4,1
120646,,,1,,1,
120663,,,8,,8,
120706,2,,,,2,
120734,1,1,,,1,1
120747,,,1,,1,
120769,,,3,1,3,1
120790,,,1,1,1,1
120794,,,1,,1,
120850,,,1,,1,
120889,,,2,2,2,2
120924,,,1,,1,
120935,,,2,2,2,2
120942,,,1,1,1,1
120962,,,1,1,1,1
120987,1,1,,,1,1
120994,,,1,,1,
121031,,,2,2,2,2
121085,1,,,,1,
121088,,,1,,1,
121103,,,10,4,10,4
121109,,,1,1,1,1
121143,1,,,,1,
121164,2,1,,,2,1
121224,2,,,,2,
121268,,,1,1,1,1
121295,,,2,2,2,2
121297,1,,1,1,2,1
121301,,,2,,2,
121320,2,1,,,2,1
121328,1,,,,1,
121372,,,4,,4,
121384,,,3,1,3,1
121465,1,,,,1,
121493,1,1,3,1,4,2
121527,,,2,,2,
121551,,,2,2,2,2
121646,,,1,1,1,1
121674,,,1,,1,
121694,1,,,,1,
121709,,,1,1,1,1
121737,1,1,,,1,1
121757,,,1,1,1,1
121797,,,3,3,3,3
121866,,,1,,1,
121887,,,1,1,1,1
121890,1,,,,1,
121987,1,,,,1,
122007,,,1,1,1,1
122031,,,1,1,1,1
122038,1,1,,,1,1
122040,1,1,2,2,3,3
122135,1,,,,1,
122142,,,21,21,21,21
122148,,,2,1,2,1
122155,7,,1,,8,
122164,1,,,,1,
122249,,,1,1,1,1
122271,,,1,1,1,1
122298,,,5,2,5,2
122314,,,1,,1,
122336,3,,,,3,
122339,5,2,,,5,2
122358,,,1,,1,
122376,1,,1,,2,
122387,28,,1,,29,
122390,,,1,,1,
122391,1,,,,1,
122438,1,1,1,,2,1
122458,,,10,7,10,7
122475,1,1,,,1,1
122532,3,,,,3,
122547,1,,,,1,
122586,,,3,1,3,1
122606,2,2,1,1,3,3
122617,1,,,,1,
122624,,,1,1,1,1
122642,,,1,,1,
122670,,,1,1,1,1
122672,2,2,,,2,2
122679,,,1,1,1,1
122697,,,1,1,1,1
122698,1,,,,1,
122706,1,1,,,1,1
122714,,,1,1,1,1
122748,,,2,2,2,2
122876,4,,,,4,
123024,,,1,,1,
123026,2,1,,,2,1
123080,,,1,1,1,1
123124,,,1,,1,
123260,,,1,,1,
123278,1,1,2,1,3,2
123285,,,1,,1,
123300,,,1,1,1,1
123317,1,1,,,1,1
123348,3,1,1,,4,1
123372,1,1,,,1,1
123429,,,8,1,8,1
123438,,,4,1,4,1
123447,1,,,,1,
123461,,,1,,1,
123465,2,,,,2,
123477,1,1,,,1,1
123531,2,2,,,2,2
123547,,,1,1,1,1
123595,2,1,,,2,1
123605,1,,2,,3,
123640,,,1,,1,
123644,,,2,1,2,1
123661,1,,,,1,
123724,,,2,,2,
123762,2,1,,,2,1
123786,2,2,1,1,3,3
123789,,,1,,1,
123811,4,,1,1,5,1
123840,,,1,1,1,1
123850,,,4,3,4,3
123872,1,1,,,1,1
123912,,,1,,1,
123915,,,1,1,1,1
123918,,,1,1,1,1
123941,1,1,,,1,1
123971,,,1,1,1,1
124014,,,1,,1,
124027,2,2,,,2,2
124069,,,1,1,1,1
124098,2,,,,2,
124102,,,6,4,6,4
124122,6,1,,,6,1
124130,3,2,6,4,9,6
124163,1,1,1,1,2,2
124172,,,1,,1,
124225,3,1,,,3,1
124260,2,2,,,2,2
124317,1,,,,1,
124352,1,1,,,1,1
124361,,,1,,1,
124365,,,1,,1,
124375,,,1,1,1,1
124388,,,1,,1,
124433,,,2,2,2,2
124445,1,1,,,1,1
124456,,,1,,1,
124546,,,1,1,1,1
124567,,,1,,1,
124615,1,,,,1,
124796,1,1,,,1,1
124848,,,1,,1,
124882,1,1,,,1,1
124905,,,1,,1,
124923,4,,10,,14,
124952,6,,,,6,
124979,1,,,,1,
124995,1,,,,1,
125025,5,4,,,5,4
125035,1,1,,,1,1
125037,,,3,,3,
125041,,,1,,1,
125059,5,3,5,1,10,4
125081,,,1,1,1,1
125157,,,1,,1,
125172,1,,,,1,
125182,,,2,1,2,1
125185,1,1,,,1,1
125198,,,2,1,2,1
125255,,,1,1,1,1
125260,1,1,,,1,1
125272,,,3,,3,
125285,3,,,,3,
125318,1,,,,1,
125367,,,1,1,1,1
125372,1,,,,1,
125376,,,7,7,7,7
125417,,,1,1,1,1
125451,,,1,1,1,1
125458,9,,,,9,
125483,1,,3,1,4,1
125500,,,1,,1,
125502,4,,,,4,
125556,,,1,,1,
125580,,,1,1,1,1
125627,,,1,,1,
125634,,,1,1,1,1
125640,,,3,,3,
125644,,,1,1,1,1
125689,,,1,,1,
125756,1,1,,,1,1
125777,,,1,,1,
125791,,,3,2,3,2
125796,1,,,,1,
125798,,,1,,1,
125846,,,1,,1,
125858,,,1,,1,
125894,,,1,1,1,1
125915,,,1,,1,
125934,1,,,,1,
125968,1,1,,,1,1
125975,,,1,,1,
126024,,,1,,1,
126078,1,1,,,1,1
126120,,,1,1,1,1
126141,,,4,3,4,3
126196,1,1,,,1,1
126199,,,1,,1,
126231,1,,,,1,
126236,3,1,,,3,1
126244,1,,,,1,
126260,,,1,1,1,1
126277,,,1,1,1,1
126328,,,1,,1,
126330,,,1,,1,
126355,,,6,2,6,2
126372,,,1,,1,
126384,,,1,,1,
126415,1,1,,,1,1
126427,1,1,,,1,1
126433,1,,,,1,
126449,1,,,,1,
126520,,,1,1,1,1
126528,,,1,,1,
126537,,,1,1,1,1
126643,,,2,,2,
126685,,,1,1,1,1
126694,1,1,,,1,1
126706,,,1,,1,
126707,,,2,,2,
126732,,,1,1,1,1
126774,,,1,1,1,1
126804,1,1,1,,2,1
126805,,,1,1,1,1
126851,1,1,,,1,1
126855,2,1,,,2,1
126876,,,1,1,1,1
126887,,,1,1,1,1
127007,1,,,,1,
127011,,,1,1,1,1
127077,1,,1,1,2,1
127103,,,1,,1,
127109,1,,,,1,
127142,,,1,,1,
127169,,,1,1,1,1
127172,7,2,1,1,8,3
127194,,,3,2,3,2
127237,1,1,,,1,1
127307,,,1,1,1,1
127308,25,3,24,13,49,16
127340,,,1,,1,
127363,1,1,,,1,1
127376,,,1,,1,
127404,1,,,,1,
127441,,,1,1,1,1
127546,,,3,,3,
127559,,,1,1,1,1
127564,,,1,,1,
127586,3,,,,3,
127609,1,,,,1,
127708,,,2,,2,
127719,,,1,1,1,1
127730,,,1,,1,
127737,,,1,,1,
127739,5,3,,,5,3
127756,3,,,,3,
127760,,,1,1,1,1
127763,,,1,1,1,1
127773,1,,,,1,
127808,1,1,,,1,1
127832,4,,,,4,
127956,1,1,,,1,1
127985,,,1,,1,
127996,,,1,,1,
128004,1,1,,,1,1
128016,,,7,6,7,6
128025,1,,,,1,
128041,1,,,,1,
128109,1,1,1,,2,1
128159,1,,,,1,
128222,,,1,,1,
128238,1,1,,,1,1
128250,,,1,1,1,1
128289,,,1,,1,
128315,,,1,,1,
128319,2,1,,,2,1
128328,1,1,,,1,1
128329,,,1,,1,
128466,,,2,2,2,2
128488,20,6,1,1,21,7
128492,,,1,,1,
128535,,,1,1,1,1
128550,,,1,,1,
128553,1,1,,,1,1
128578,,,2,,2,
128587,5,2,,,5,2
128629,1,,,,1,
128647,,,2,,2,
128680,,,1,1,1,1
128698,,,1,1,1,1
128701,1,,,,1,
128745,1,1,,,1,1
128747,,,1,1,1,1
128780,,,1,1,1,1
128782,,,1,1,1,1
128805,,,1,,1,
128822,,,3,2,3,2
128829,,,8,7,8,7
128869,3,,,,3,
128896,,,1,,1,
128933,,,2,1,2,1
129042,,,1,,1,
129057,,,1,,1,
129115,1,,,,1,
129116,,,1,1,1,1
129118,1,,,,1,
129135,,,1,1,1,1
129164,,,1,,1,
129169,1,,,,1,
129182,,,3,1,3,1
129276,,,8,7,8,7
129311,7,,,,7,
129339,4,4,2,2,6,6
129415,7,1,12,3,19,4
129428,,,1,,1,
129448,1,,,,1,
129513,21,,,,21,
129536,,,1,,1,
129537,1,1,,,1,1
129540,,,1,,1,
129544,,,1,1,1,1
129553,,,1,1,1,1
129565,,,1,,1,
129627,3,1,,,3,1
129655,2,2,2,1,4,3
129694,3,,,,3,
129778,,,15,1,15,1
129805,,,1,1,1,1
129814,1,,,,1,
129815,1,,,,1,
129850,1,1,,,1,1
129871,1,,,,1,
129879,,,1,1,1,1
129911,,,1,1,1,1
129976,,,1,1,1,1
129985,1,,,,1,
130017,,,1,1,1,1
130018,,,1,,1,
130167,1,,1,,2,
130181,,,2,1,2,1
130187,4,,,,4,
130261,,,1,,1,
130320,1,1,,,1,1
130353,,,1,,1,
130371,,,1,1,1,1
130419,,,1,,1,
130422,,,1,,1,
130450,2,,,,2,
130458,1,,,,1,
130516,,,11,10,11,10
130540,,,16,16,16,16
130572,15,10,1,1,16,11
130610,,,1,,1,
130618,,,1,,1,
130695,7,,,,7,
130899,1,,,,1,
130906,1,,,,1,
130916,1,,,,1,
130934,,,1,,1,
130941,5,1,,,5,1
130949,1,,,,1,
130998,1,1,,,1,1
131025,1,1,,,1,1
131033,3,3,1,,4,3
131064,,,1,,1,
131118,,,1,1,1,1
131123,3,3,7,6,10,9
131190,1,1,,,1,1
131277,1,1,,,1,1
131286,1,1,,,1,1
131310,,,2,,2,
131341,,,1,,1,
131366,,,1,,1,
131400,,,1,1,1,1
131432,,,1,1,1,1
131447,,,1,1,1,1
131509,1,1,,,1,1
131529,3,3,,,3,3
131576,1,1,9,6,10,7
131584,,,3,1,3,1
131588,,,1,,1,
131649,1,1,2,2,3,3
131650,1,1,,,1,1
131659,,,1,1,1,1
131708,1,,,,1,
131721,,,2,1,2,1
131777,,,1,,1,
131779,3,3,,,3,3
131800,,,14,1,14,1
131895,,,2,2,2,2
131929,1,1,,,1,1
131934,,,5,4,5,4
131970,1,1,,,1,1
131972,,,7,6,7,6
131973,,,1,1,1,1
132027,,,1,,1,
132050,2,,,,2,
132058,,,1,,1,
132076,,,1,,1,
132112,,,1,,1,
132151,1,1,,,1,1
132153,1,,,,1,
132173,1,1,,,1,1
132194,5,4,2,,7,4
132214,,,2,1,2,1
132269,,,1,1,1,1
132301,1,1,,,1,1
132342,,,1,1,1,1
132347,1,1,,,1,1
132432,2,,,,2,
132433,,,1,1,1,1
132463,2,2,1,,3,2
132465,6,2,3,1,9,3
132515,,,1,,1,
132543,,,1,1,1,1
132557,2,1,,,2,1
132558,1,,,,1,
132563,,,1,,1,
132587,,,2,1,2,1
132658,4,2,1,,5,2
132711,,,2,,2,
132716,,,1,1,1,1
132742,2,2,,,2,2
132745,,,1,,1,
132802,1,,,,1,
132832,10,4,,,10,4
132841,,,1,1,1,1
132848,,,1,1,1,1
132870,,,1,,1,
132912,1,,,,1,
132922,1,,,,1,
132962,,,2,1,2,1
132975,6,1,,,6,1
132986,4,4,,,4,4
133011,,,6,6,6,6
133102,1,,1,,2,
133110,,,2,1,2,1
133113,,,4,1,4,1
133116,,,2,2,2,2
133176,,,1,,1,
133195,,,1,,1,
133256,1,1,,,1,1
133280,,,2,1,2,1
133328,,,4,4,4,4
133333,1,,1,1,2,1
133346,,,1,1,1,1
133375,,,1,1,1,1
133382,,,1,,1,
133420,,,1,1,1,1
133430,,,2,2,2,2
133469,,,1,,1,
133483,,,1,,1,
133495,1,1,,,1,1
133619,14,,,,14,
133635,,,1,,1,
133671,2,2,,,2,2
133709,,,1,1,1,1
133711,,,1,,1,
133712,,,1,1,1,1
133720,1,1,,,1,1
133761,,,1,1,1,1
133763,,,1,,1,
133766,,,1,1,1,1
133767,,,2,2,2,2
133781,1,,,,1,
133863,,,1,,1,
133874,1,1,,,1,1
133903,2,,,,2,
133942,,,2,,2,
133946,,,2,1,2,1
133973,,,1,,1,
133982,,,1,1,1,1
134100,,,1,,1,
134103,,,1,,1,
134151,1,,,,1,
134165,,,2,1,2,1
134183,10,9,1,1,11,10
134202,1,1,,,1,1
134205,,,1,,1,
134225,,,1,,1,
134238,,,1,1,1,1
134241,,,1,,1,
134255,,,1,,1,
134300,,,1,,1,
134305,,,1,1,1,1
134309,,,1,1,1,1
134340,,,1,,1,
134345,,,2,2,2,2
134350,,,1,,1,
134380,1,,,,1,
134399,1,1,,,1,1
134404,,,1,,1,
134409,,,1,1,1,1
134451,1,1,,,1,1
134452,,,79,9,79,9
134462,,,1,,1,
134466,,,1,1,1,1
134487,,,2,2,2,2
134513,3,3,2,1,5,4
134517,,,15,6,15,6
134608,6,5,1,1,7,6
134637,,,2,2,2,2
134649,,,1,1,1,1
134655,,,1,,1,
134737,,,4,4,4,4
134765,1,,,,1,
134766,,,1,,1,
134805,1,1,,,1,1
134809,1,1,,,1,1
134825,,,1,,1,
134957,,,6,1,6,1
134959,1,,1,1,2,1
135006,,,1,,1,
135008,1,,1,,2,
135011,,,1,1,1,1
135092,13,8,5,5,18,13
135098,,,3,2,3,2
135152,1,,,,1,
135174,1,1,,,1,1
135228,,,1,1,1,1
135232,,,2,2,2,2
135278,,,4,4,4,4
135297,,,1,1,1,1
135302,3,1,,,3,1
135313,1,1,,,1,1
135316,,,1,,1,
135338,5,,,,5,
135351,1,,,,1,
135415,1,,,,1,
135437,3,3,,,3,3
135453,,,2,2,2,2
135471,1,1,,,1,1
135499,1,1,1,,2,1
135523,1,,,,1,
135549,,,1,1,1,1
135570,,,1,1,1,1
135581,1,1,,,1,1
135601,,,1,,1,
135608,4,4,,,4,4
135628,,,1,,1,
135648,,,1,,1,
135665,1,,10,,11,
135716,,,1,1,1,1
135734,13,4,,,13,4
135741,,,1,,1,
135772,1,,,,1,
135838,,,1,1,1,1
135844,1,1,,,1,1
135869,2,2,,,2,2
135876,,,1,,1,
135879,,,1,1,1,1
135925,1,,,,1,
135946,1,1,,,1,1
135982,,,1,,1,
136003,,,1,1,1,1
136011,,,1,,1,
136046,2,,,,2,
136119,1,,,,1,
136161,,,1,,1,
136186,,,1,,1,
136229,,,3,,3,
136248,3,,,,3,
136280,1,1,,,1,1
136281,,,10,4,10,4
136340,,,1,1,1,1
136376,,,2,2,2,2
136396,,,5,2,5,2
136492,,,8,,8,
136563,,,1,,1,
136574,1,1,,,1,1
136583,1,,,,1,
136585,1,,,,1,
136590,1,,,,1,
136685,,,1,1,1,1
136689,,,1,1,1,1
136746,,,2,,2,
136751,,,2,2,2,2
136852,1,,,,1,
136863,1,1,2,,3,1
136875,3,3,,,3,3
136883,,,12,,12,
136893,2,2,1,1,3,3
136952,,,1,1,1,1
136980,,,1,1,1,1
137042,,,1,1,1,1
137055,1,,,,1,
137084,,,4,,4,
137100,,,1,,1,
137123,1,1,,,1,1
137150,6,4,,,6,4
137169,,,1,1,1,1
137194,2,1,1,1,3,2
137212,,,1,1,1,1
137234,1,1,,,1,1
137395,2,,,,2,
137398,1,1,,,1,1
137417,,,1,1,1,1
137477,,,1,,1,
137546,,,2,,2,
137558,,,1,,1,
137562,,,1,,1,
137564,,,1,,1,
137569,3,3,1,1,4,4
137587,1,1,,,1,1
137632,1,,,,1,
137637,2,,,,2,
137642,1,,,,1,
137676,1,,2,,3,
137726,,,1,,1,
137772,1,,,,1,
137781,8,7,1,,9,7
137792,,,1,1,1,1
137805,1,1,,,1,1
137844,,,1,,1,
137868,1,,,,1,
137998,,,1,1,1,1
138038,,,28,22,28,22
138064,1,1,1,1,2,2
138076,1,,,,1,
138117,1,1,,,1,1
138129,,,1,,1,
138188,1,,,,1,
138273,1,,2,1,3,1
138320,,,1,1,1,1
138364,3,1,,,3,1
138368,1,1,,,1,1
138417,,,1,1,1,1
138427,1,1,,,1,1
138431,,,1,1,1,1
138457,,,1,,1,
138471,,,1,1,1,1
138504,3,2,1,1,4,3
138592,1,,,,1,
138637,1,,,,1,
138728,,,1,,1,
138748,,,2,,2,
138749,,,12,11,12,11
138763,1,1,,,1,1
138798,,,1,,1,
138819,,,2,2,2,2
138822,3,3,1,,4,3
138849,,,1,,1,
138901,,,1,,1,
138943,,,1,1,1,1
138945,1,1,,,1,1
138956,,,1,,1,
138964,1,,,,1,
138971,,,1,,1,
138996,2,2,,,2,2
139002,2,2,,,2,2
139053,,,2,1,2,1
139079,2,1,,,2,1
139142,,,7,7,7,7
139209,,,1,,1,
139241,1,,,,1,
139248,1,1,,,1,1
139250,3,2,2,1,5,3
139264,1,,,,1,
139265,,,3,3,3,3
139275,1,,,,1,
139346,,,1,1,1,1
139356,,,1,,1,
139367,,,1,1,1,1
139372,,,1,,1,
139389,11,,3,,14,
139428,,,1,1,1,1
139444,,,1,1,1,1
139510,1,1,,,1,1
139520,,,2,,2,
139539,,,1,1,1,1
139563,1,,,,1,
139606,,,1,,1,
139616,19,,4,,23,
139636,,,2,2,2,2
139638,1,,,,1,
139650,,,2,,2,
139678,,,1,1,1,1
139696,,,2,1,2,1
139715,1,1,,,1,1
139735,1,,,,1,
139801,,,1,1,1,1
139896,,,1,1,1,1
139910,,,1,1,1,1
139935,2,,,,2,
139965,1,1,1,1,2,2
139966,1,1,1,,2,1
140015,,,1,,1,
140046,,,1,1,1,1
140069,1,,,,1,
140080,1,1,1,1,2,2
140087,1,1,,,1,1
140096,,,1,,1,
140146,,,1,,1,
140169,,,2,2,2,2
140230,,,1,,1,
140313,1,,1,1,2,1
140315,1,1,,,1,1
140327,1,,,,1,
140337,,,1,1,1,1
140340,1,,,,1,
140350,1,1,,,1,1
140376,2,1,1,1,3,2
140456,1,1,,,1,1
140461,,,17,,17,
140462,,,5,,5,
140504,,,5,4,5,4
140515,,,1,,1,
140648,,,1,1,1,1
140688,,,1,1,1,1
140725,,,1,1,1,1
140731,,,1,,1,
140770,,,3,1,3,1
140815,,,1,1,1,1
140868,4,,,,4,
140892,1,,,,1,
140942,,,1,1,1,1
141005,,,1,,1,
141023,,,2,,2,
141103,4,2,1,,5,2
141118,1,1,,,1,1
141121,,,1,,1,
141125,5,5,1,,6,5
141155,,,2,2,2,2
141222,1,1,,,1,1
141225,,,1,,1,
141280,,,1,,1,
141297,,,1,1,1,1
141371,1,1,,,1,1
141386,1,1,,,1,1
141401,2,1,,,2,1
141422,1,,7,3,8,3
141540,,,2,2,2,2
141545,,,1,,1,
141623,,,1,,1,
141653,,,1,,1,
141670,,,1,1,1,1
141705,1,1,,,1,1
141720,1,,,,1,
141779,,,3,,3,
141792,1,,,,1,
141850,1,1,,,1,1
141865,,,1,1,1,1
141889,,,3,,3,
141920,2,2,4,1,6,3
141921,2,1,,,2,1
141929,,,1,,1,
141984,,,1,,1,
141996,,,1,1,1,1
142008,,,1,1,1,1
142040,,,1,1,1,1
142052,,,1,1,1,1
142053,,,1,,1,
142058,9,7,2,2,11,9
142075,1,,,,1,
142142,1,1,,,1,1
142202,1,1,,,1,1
142234,,,4,1,4,1
142258,3,1,1,,4,1
142281,,,1,1,1,1
142286,1,1,,,1,1
142292,,,1,1,1,1
142300,,,1,,1,
142315,,,1,1,1,1
142342,1,1,,,1,1
142383,1,1,,,1,1
142402,1,1,,,1,1
142442,,,7,1,7,1
142484,,,1,1,1,1
142491,1,1,,,1,1
142508,1,,,,1,
142515,,,1,,1,
142521,,,2,1,2,1
142581,1,,,,1,
142595,,,10,3,10,3
142618,,,2,1,2,1
142707,1,1,,,1,1
142818,,,1,,1,
142827,,,3,1,3,1
142836,,,1,1,1,1
142839,,,3,,3,
142858,,,1,1,1,1
142895,,,1,,1,
142909,1,,,,1,
142910,1,,1,1,2,1
142963,,,1,,1,
142988,1,,,,1,
142991,,,1,,1,
143026,8,4,1,1,9,5
143031,2,,,,2,
143075,,,2,,2,
143107,,,1,1,1,1
143155,,,1,,1,
143160,1,,,,1,
143161,6,1,,,6,1
143173,3,,,,3,
143218,2,2,,,2,2
143221,2,2,1,,3,2
143223,,,1,1,1,1
143243,,,1,1,1,1
143317,,,1,1,1,1
143334,,,2,2,2,2
143341,,,1,,1,
143375,,,1,1,1,1
143386,,,1,1,1,1
143498,,,1,,1,
143581,,,1,1,1,1
143644,,,1,1,1,1
143666,,,1,1,1,1
143667,,,1,,1,
143673,2,1,,,2,1
143714,,,1,,1,
143717,,,1,1,1,1
143723,1,,,,1,
143730,,,1,,1,
143750,1,,1,1,2,1
143764,,,1,1,1,1
143787,1,1,,,1,1
143799,5,2,,,5,2
143819,,,2,1,2,1
143850,,,1,1,1,1
143878,,,1,1,1,1
143925,2,1,,,2,1
143933,,,1,,1,
143957,2,,,,2,
143999,1,,,,1,
144056,,,1,,1,
144058,,,1,,1,
144118,,,1,,1,
144128,,,1,,1,
144132,,,2,1,2,1
144146,,,2,,2,
144153,1,,,,1,
144156,,,1,,1,
144159,,,1,1,1,1
144167,1,,,,1,
144168,,,1,,1,
144177,,,1,1,1,1
144192,,,1,,1,
144209,1,1,,,1,1
144251,,,1,,1,
144281,,,5,4,5,4
144287,,,1,1,1,1
144310,2,2,,,2,2
144352,3,,,,3,
144353,,,2,1,2,1
144371,,,1,,1,
144423,1,1,,,1,1
