EID,BR_COUNT,NORMAL_BR,END_BR,WS_BR,BS_BR,BS_NORMAL_BR,BS_END_BR,WS_NORMAL_BR,WS_END_BR,BRLIVE,BS_END_BR_LIVE,WS_END_BR_LIVE,BRLIVE_AVG,BS_END_BR_LIVE_AVG,WS_END_BR_LIVE_AVG
115044,1,0,1,0,1,0,1,0,0,6.0,6.0,0.0,6.0,6.0,
115094,2,1,1,2,0,0,0,1,1,5.0,0.0,5.0,5.0,,5.0
115112,1,0,1,0,1,0,1,0,0,8.0,8.0,0.0,8.0,8.0,
115162,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
115181,1,1,0,0,1,1,0,0,0,,,,,,
115196,1,1,0,0,1,1,0,0,0,,,,,,
115317,7,7,0,7,0,0,0,7,0,,,,,,
115340,1,1,0,0,1,1,0,0,0,,,,,,
115425,1,1,0,1,0,0,0,1,0,,,,,,
115445,2,0,2,2,0,0,0,0,2,8.0,0.0,8.0,4.0,,4.0
115487,1,1,0,0,1,1,0,0,0,,,,,,
115490,1,1,0,0,1,1,0,0,0,,,,,,
115495,1,1,0,0,1,1,0,0,0,,,,,,
115504,1,1,0,1,0,0,0,1,0,,,,,,
115517,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
115525,1,1,0,1,0,0,0,1,0,,,,,,
115527,2,1,1,0,2,1,1,0,0,3.0,3.0,0.0,3.0,3.0,
115559,1,1,0,1,0,0,0,1,0,,,,,,
115642,1,0,1,1,0,0,0,0,1,6.0,0.0,6.0,6.0,,6.0
115657,1,1,0,0,1,1,0,0,0,,,,,,
115718,2,1,1,0,2,1,1,0,0,7.0,7.0,0.0,7.0,7.0,
115761,2,2,0,2,0,0,0,2,0,,,,,,
115778,1,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,
115839,1,0,1,0,1,0,1,0,0,5.0,5.0,0.0,5.0,5.0,
115857,2,0,2,2,0,0,0,0,2,19.0,0.0,19.0,9.5,,9.5
115883,3,0,3,3,0,0,0,0,3,6.0,0.0,6.0,2.0,,2.0
115893,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
115911,1,1,0,1,0,0,0,1,0,,,,,,
115961,2,1,1,1,1,1,0,0,1,4.0,0.0,4.0,4.0,,4.0
115976,4,2,2,0,4,2,2,0,0,2.0,2.0,0.0,1.0,1.0,
116038,3,0,3,2,1,0,1,0,2,3.0,2.0,1.0,1.0,2.0,0.5
116065,1,1,0,1,0,0,0,1,0,,,,,,
116076,10,5,5,9,1,0,1,5,4,33.0,2.0,31.0,6.6,2.0,7.75
116100,1,0,1,1,0,0,0,0,1,10.0,0.0,10.0,10.0,,10.0
116153,2,0,2,0,2,0,2,0,0,6.0,6.0,0.0,3.0,3.0,
116179,1,0,1,0,1,0,1,0,0,5.0,5.0,0.0,5.0,5.0,
116211,4,4,0,0,4,4,0,0,0,,,,,,
116215,1,1,0,0,1,1,0,0,0,,,,,,
116269,2,0,2,2,0,0,0,0,2,4.0,0.0,4.0,2.0,,2.0
116271,1,1,0,0,1,1,0,0,0,,,,,,
116330,2,0,2,0,2,0,2,0,0,5.0,5.0,0.0,2.5,2.5,
116338,1,1,0,0,1,1,0,0,0,,,,,,
116358,1,0,1,0,1,0,1,0,0,8.0,8.0,0.0,8.0,8.0,
116384,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
116399,1,0,1,0,1,0,1,0,0,5.0,5.0,0.0,5.0,5.0,
116425,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
116479,1,1,0,0,1,1,0,0,0,,,,,,
116491,2,2,0,0,2,2,0,0,0,,,,,,
116506,8,0,8,8,0,0,0,0,8,53.0,0.0,53.0,6.625,,6.625
116519,1,1,0,0,1,1,0,0,0,,,,,,
116567,2,0,2,0,2,0,2,0,0,11.0,11.0,0.0,5.5,5.5,
116575,3,2,1,1,2,2,0,0,1,0.0,0.0,0.0,0.0,,0.0
116620,4,2,2,0,4,2,2,0,0,7.0,7.0,0.0,3.5,3.5,
116639,1,1,0,1,0,0,0,1,0,,,,,,
116676,1,1,0,0,1,1,0,0,0,,,,,,
116684,1,1,0,0,1,1,0,0,0,,,,,,
116705,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
116712,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
116729,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
116754,3,2,1,0,3,2,1,0,0,5.0,5.0,0.0,5.0,5.0,
116776,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
116790,1,1,0,0,1,1,0,0,0,,,,,,
116804,2,2,0,1,1,1,0,1,0,,,,,,
116806,8,7,1,7,1,1,0,6,1,3.0,0.0,3.0,3.0,,3.0
116822,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
116838,1,1,0,0,1,1,0,0,0,,,,,,
116839,3,1,2,2,1,0,1,1,1,9.0,2.0,7.0,4.5,2.0,7.0
116845,1,1,0,1,0,0,0,1,0,,,,,,
116850,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
116876,2,0,2,0,2,0,2,0,0,1.0,1.0,0.0,0.5,0.5,
116880,1,1,0,1,0,0,0,1,0,,,,,,
116895,1,1,0,0,1,1,0,0,0,,,,,,
116903,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,,0.0
116914,4,2,2,4,0,0,0,2,2,21.0,0.0,21.0,10.5,,10.5
116917,2,1,1,2,0,0,0,1,1,0.0,0.0,0.0,0.0,,0.0
116926,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
116938,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
117036,5,0,5,0,5,0,5,0,0,28.0,28.0,0.0,5.6,5.6,
117115,1,0,1,1,0,0,0,0,1,4.0,0.0,4.0,4.0,,4.0
117116,1,1,0,0,1,1,0,0,0,,,,,,
117141,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
117150,2,0,2,1,1,0,1,0,1,8.0,3.0,5.0,4.0,3.0,5.0
117172,1,1,0,0,1,1,0,0,0,,,,,,
117187,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
117250,1,1,0,0,1,1,0,0,0,,,,,,
117257,1,1,0,0,1,1,0,0,0,,,,,,
117282,1,1,0,0,1,1,0,0,0,,,,,,
117289,5,0,5,0,5,0,5,0,0,30.0,30.0,0.0,6.0,6.0,
117348,10,7,3,9,1,1,0,6,3,13.0,0.0,13.0,4.333333333333333,,4.333333333333333
117374,1,1,0,0,1,1,0,0,0,,,,,,
117435,7,1,6,0,7,1,6,0,0,32.0,32.0,0.0,5.333333333333333,5.333333333333333,
117436,1,1,0,0,1,1,0,0,0,,,,,,
117449,3,2,1,0,3,2,1,0,0,0.0,0.0,0.0,0.0,0.0,
117495,6,0,6,1,5,0,5,0,1,12.0,9.0,3.0,2.0,1.8,3.0
117504,2,1,1,1,1,1,0,0,1,4.0,0.0,4.0,4.0,,4.0
117546,10,10,0,10,0,0,0,10,0,,,,,,
117569,4,0,4,3,1,0,1,0,3,14.0,3.0,11.0,3.5,3.0,3.6666666666666665
117603,1,1,0,0,1,1,0,0,0,,,,,,
117670,1,1,0,0,1,1,0,0,0,,,,,,
117688,1,1,0,0,1,1,0,0,0,,,,,,
117719,8,8,0,7,1,1,0,7,0,,,,,,
117725,3,0,3,0,3,0,3,0,0,16.0,16.0,0.0,5.333333333333333,5.333333333333333,
117809,1,0,1,0,1,0,1,0,0,18.0,18.0,0.0,18.0,18.0,
117842,11,10,1,5,6,5,1,5,0,7.0,7.0,0.0,7.0,7.0,
117888,2,0,2,0,2,0,2,0,0,20.0,20.0,0.0,10.0,10.0,
117898,7,7,0,7,0,0,0,7,0,,,,,,
117919,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
117929,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
117961,1,1,0,1,0,0,0,1,0,,,,,,
118114,1,1,0,0,1,1,0,0,0,,,,,,
118151,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
118170,1,1,0,1,0,0,0,1,0,,,,,,
118185,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
118200,1,1,0,0,1,1,0,0,0,,,,,,
118217,2,1,1,0,2,1,1,0,0,2.0,2.0,0.0,2.0,2.0,
118225,3,1,2,0,3,1,2,0,0,17.0,17.0,0.0,8.5,8.5,
118276,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
118290,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
118325,1,1,0,1,0,0,0,1,0,,,,,,
118339,17,15,2,0,17,15,2,0,0,1.0,1.0,0.0,0.5,0.5,
118420,62,49,13,47,15,14,1,35,12,18.0,3.0,15.0,1.3846153846153846,3.0,1.25
118473,1,1,0,0,1,1,0,0,0,,,,,,
118507,1,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,
118544,1,1,0,1,0,0,0,1,0,,,,,,
118547,2,2,0,0,2,2,0,0,0,,,,,,
118585,2,0,2,0,2,0,2,0,0,54.0,54.0,0.0,27.0,27.0,
118622,5,1,4,4,1,0,1,1,3,10.0,2.0,8.0,2.5,2.0,2.6666666666666665
118629,1,1,0,1,0,0,0,1,0,,,,,,
118634,1,1,0,0,1,1,0,0,0,,,,,,
118636,1,0,1,0,1,0,1,0,0,12.0,12.0,0.0,12.0,12.0,
118656,1,1,0,0,1,1,0,0,0,,,,,,
118668,3,3,0,0,3,3,0,0,0,,,,,,
118691,9,9,0,1,8,8,0,1,0,,,,,,
118695,19,17,2,16,3,2,1,15,1,8.0,6.0,2.0,4.0,6.0,2.0
118720,1,1,0,1,0,0,0,1,0,,,,,,
118732,1,1,0,1,0,0,0,1,0,,,,,,
118830,1,1,0,0,1,1,0,0,0,,,,,,
118838,1,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,
118846,1,1,0,1,0,0,0,1,0,,,,,,
118870,1,0,1,1,0,0,0,0,1,8.0,0.0,8.0,8.0,,8.0
118915,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
118996,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
119007,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
119021,1,1,0,0,1,1,0,0,0,,,,,,
119094,3,3,0,0,3,3,0,0,0,,,,,,
119117,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,,0.0
119131,23,9,14,0,23,9,14,0,0,86.0,86.0,0.0,6.142857142857143,6.142857142857143,
119136,1,1,0,0,1,1,0,0,0,,,,,,
119169,1,1,0,0,1,1,0,0,0,,,,,,
119174,2,2,0,2,0,0,0,2,0,,,,,,
119248,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
119291,2,1,1,2,0,0,0,1,1,0.0,0.0,0.0,0.0,,0.0
119326,1,1,0,1,0,0,0,1,0,,,,,,
119333,1,1,0,1,0,0,0,1,0,,,,,,
119351,2,2,0,2,0,0,0,2,0,,,,,,
119411,1,0,1,1,0,0,0,0,1,6.0,0.0,6.0,6.0,,6.0
119433,1,1,0,0,1,1,0,0,0,,,,,,
119473,1,1,0,1,0,0,0,1,0,,,,,,
119494,1,1,0,0,1,1,0,0,0,,,,,,
119550,1,1,0,1,0,0,0,1,0,,,,,,
119571,1,1,0,0,1,1,0,0,0,,,,,,
119589,7,7,0,7,0,0,0,7,0,,,,,,
119650,1,0,1,0,1,0,1,0,0,6.0,6.0,0.0,6.0,6.0,
119757,2,2,0,0,2,2,0,0,0,,,,,,
119835,1,1,0,0,1,1,0,0,0,,,,,,
119842,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
119857,4,4,0,1,3,3,0,1,0,,,,,,
119870,1,1,0,0,1,1,0,0,0,,,,,,
119875,1,1,0,0,1,1,0,0,0,,,,,,
120076,2,0,2,0,2,0,2,0,0,7.0,7.0,0.0,3.5,3.5,
120100,1,1,0,1,0,0,0,1,0,,,,,,
120106,16,10,6,0,16,10,6,0,0,9.0,9.0,0.0,1.5,1.5,
120116,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
120173,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
120176,1,0,1,0,1,0,1,0,0,5.0,5.0,0.0,5.0,5.0,
120231,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
120268,2,1,1,0,2,1,1,0,0,3.0,3.0,0.0,3.0,3.0,
120271,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
120291,8,1,7,8,0,0,0,1,7,31.0,0.0,31.0,4.428571428571429,,4.428571428571429
120294,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
120300,1,1,0,0,1,1,0,0,0,,,,,,
120302,1,1,0,1,0,0,0,1,0,,,,,,
120308,1,0,1,1,0,0,0,0,1,6.0,0.0,6.0,6.0,,6.0
120358,1,1,0,0,1,1,0,0,0,,,,,,
120360,1,1,0,0,1,1,0,0,0,,,,,,
120361,1,1,0,0,1,1,0,0,0,,,,,,
120403,1,0,1,0,1,0,1,0,0,8.0,8.0,0.0,8.0,8.0,
120465,2,0,2,2,0,0,0,0,2,3.0,0.0,3.0,1.5,,1.5
120489,1,1,0,0,1,1,0,0,0,,,,,,
120501,2,1,1,1,1,1,0,0,1,1.0,0.0,1.0,1.0,,1.0
120506,2,2,0,2,0,0,0,2,0,,,,,,
120553,1,0,1,0,1,0,1,0,0,5.0,5.0,0.0,5.0,5.0,
120590,1,1,0,0,1,1,0,0,0,,,,,,
120591,1,1,0,0,1,1,0,0,0,,,,,,
120592,1,1,0,1,0,0,0,1,0,,,,,,
120635,4,3,1,0,4,3,1,0,0,0.0,0.0,0.0,0.0,0.0,
120646,1,1,0,0,1,1,0,0,0,,,,,,
120663,8,8,0,0,8,8,0,0,0,,,,,,
120706,2,2,0,2,0,0,0,2,0,,,,,,
120734,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
120747,1,1,0,0,1,1,0,0,0,,,,,,
120769,3,2,1,0,3,2,1,0,0,4.0,4.0,0.0,4.0,4.0,
120790,1,0,1,0,1,0,1,0,0,12.0,12.0,0.0,12.0,12.0,
120794,1,1,0,0,1,1,0,0,0,,,,,,
120850,1,1,0,0,1,1,0,0,0,,,,,,
120889,2,0,2,0,2,0,2,0,0,9.0,9.0,0.0,4.5,4.5,
120924,1,1,0,0,1,1,0,0,0,,,,,,
120935,2,0,2,0,2,0,2,0,0,30.0,30.0,0.0,15.0,15.0,
120942,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
120962,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
120987,1,0,1,1,0,0,0,0,1,7.0,0.0,7.0,7.0,,7.0
120994,1,1,0,0,1,1,0,0,0,,,,,,
121031,2,0,2,0,2,0,2,0,0,6.0,6.0,0.0,3.0,3.0,
121085,1,1,0,1,0,0,0,1,0,,,,,,
121088,1,1,0,0,1,1,0,0,0,,,,,,
121103,10,6,4,0,10,6,4,0,0,4.0,4.0,0.0,1.0,1.0,
121109,1,0,1,0,1,0,1,0,0,14.0,14.0,0.0,14.0,14.0,
121143,1,1,0,1,0,0,0,1,0,,,,,,
121164,2,1,1,2,0,0,0,1,1,1.0,0.0,1.0,1.0,,1.0
121224,2,2,0,2,0,0,0,2,0,,,,,,
121268,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
121295,2,0,2,0,2,0,2,0,0,8.0,8.0,0.0,4.0,4.0,
121297,2,1,1,1,1,0,1,1,0,7.0,7.0,0.0,7.0,7.0,
121301,2,2,0,0,2,2,0,0,0,,,,,,
121320,2,1,1,2,0,0,0,1,1,2.0,0.0,2.0,2.0,,2.0
121328,1,1,0,1,0,0,0,1,0,,,,,,
121372,4,4,0,0,4,4,0,0,0,,,,,,
121384,3,2,1,0,3,2,1,0,0,8.0,8.0,0.0,8.0,8.0,
121465,1,1,0,1,0,0,0,1,0,,,,,,
121493,4,2,2,1,3,2,1,0,1,2.0,2.0,0.0,1.0,2.0,0.0
121527,2,2,0,0,2,2,0,0,0,,,,,,
121551,2,0,2,0,2,0,2,0,0,11.0,11.0,0.0,5.5,5.5,
121646,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
121674,1,1,0,0,1,1,0,0,0,,,,,,
121694,1,1,0,1,0,0,0,1,0,,,,,,
121709,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
121737,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,,0.0
121757,1,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,
121797,3,0,3,0,3,0,3,0,0,4.0,4.0,0.0,1.3333333333333333,1.3333333333333333,
121866,1,1,0,0,1,1,0,0,0,,,,,,
121887,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
121890,1,1,0,1,0,0,0,1,0,,,,,,
121987,1,1,0,1,0,0,0,1,0,,,,,,
122007,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
122031,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
122038,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
122040,3,0,3,1,2,0,2,0,1,11.0,10.0,1.0,3.6666666666666665,5.0,1.0
122135,1,1,0,1,0,0,0,1,0,,,,,,
122142,21,0,21,0,21,0,21,0,0,141.0,141.0,0.0,6.714285714285714,6.714285714285714,
122148,2,1,1,0,2,1,1,0,0,2.0,2.0,0.0,2.0,2.0,
122155,8,8,0,7,1,1,0,7,0,,,,,,
122164,1,1,0,1,0,0,0,1,0,,,,,,
122249,1,0,1,0,1,0,1,0,0,6.0,6.0,0.0,6.0,6.0,
122271,1,0,1,0,1,0,1,0,0,5.0,5.0,0.0,5.0,5.0,
122298,5,3,2,0,5,3,2,0,0,17.0,17.0,0.0,8.5,8.5,
122314,1,1,0,0,1,1,0,0,0,,,,,,
122336,3,3,0,3,0,0,0,3,0,,,,,,
122339,5,3,2,5,0,0,0,3,2,2.0,0.0,2.0,1.0,,1.0
122358,1,1,0,0,1,1,0,0,0,,,,,,
122376,2,2,0,1,1,1,0,1,0,,,,,,
122387,29,29,0,28,1,1,0,28,0,,,,,,
122390,1,1,0,0,1,1,0,0,0,,,,,,
122391,1,1,0,1,0,0,0,1,0,,,,,,
122438,2,1,1,1,1,1,0,0,1,3.0,0.0,3.0,3.0,,3.0
122458,10,3,7,0,10,3,7,0,0,86.0,86.0,0.0,12.285714285714286,12.285714285714286,
122475,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
122532,3,3,0,3,0,0,0,3,0,,,,,,
122547,1,1,0,1,0,0,0,1,0,,,,,,
122586,3,2,1,0,3,2,1,0,0,20.0,20.0,0.0,20.0,20.0,
122606,3,0,3,2,1,0,1,0,2,7.0,1.0,6.0,2.3333333333333335,1.0,3.0
122617,1,1,0,1,0,0,0,1,0,,,,,,
122624,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
122642,1,1,0,0,1,1,0,0,0,,,,,,
122670,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
122672,2,0,2,2,0,0,0,0,2,0.0,0.0,0.0,0.0,,0.0
122679,1,0,1,0,1,0,1,0,0,5.0,5.0,0.0,5.0,5.0,
122697,1,0,1,0,1,0,1,0,0,8.0,8.0,0.0,8.0,8.0,
122698,1,1,0,1,0,0,0,1,0,,,,,,
122706,1,0,1,1,0,0,0,0,1,4.0,0.0,4.0,4.0,,4.0
122714,1,0,1,0,1,0,1,0,0,6.0,6.0,0.0,6.0,6.0,
122748,2,0,2,0,2,0,2,0,0,2.0,2.0,0.0,1.0,1.0,
122876,4,4,0,4,0,0,0,4,0,,,,,,
123024,1,1,0,0,1,1,0,0,0,,,,,,
123026,2,1,1,2,0,0,0,1,1,6.0,0.0,6.0,6.0,,6.0
123080,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
123124,1,1,0,0,1,1,0,0,0,,,,,,
123260,1,1,0,0,1,1,0,0,0,,,,,,
123278,3,1,2,1,2,1,1,0,1,8.0,4.0,4.0,4.0,4.0,4.0
123285,1,1,0,0,1,1,0,0,0,,,,,,
123300,1,0,1,0,1,0,1,0,0,6.0,6.0,0.0,6.0,6.0,
123317,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
123348,4,3,1,3,1,1,0,2,1,3.0,0.0,3.0,3.0,,3.0
123372,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
123429,8,7,1,0,8,7,1,0,0,4.0,4.0,0.0,4.0,4.0,
123438,4,3,1,0,4,3,1,0,0,7.0,7.0,0.0,7.0,7.0,
123447,1,1,0,1,0,0,0,1,0,,,,,,
123461,1,1,0,0,1,1,0,0,0,,,,,,
123465,2,2,0,2,0,0,0,2,0,,,,,,
123477,1,0,1,1,0,0,0,0,1,4.0,0.0,4.0,4.0,,4.0
123531,2,0,2,2,0,0,0,0,2,1.0,0.0,1.0,0.5,,0.5
123547,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
123595,2,1,1,2,0,0,0,1,1,1.0,0.0,1.0,1.0,,1.0
123605,3,3,0,1,2,2,0,1,0,,,,,,
123640,1,1,0,0,1,1,0,0,0,,,,,,
123644,2,1,1,0,2,1,1,0,0,1.0,1.0,0.0,1.0,1.0,
123661,1,1,0,1,0,0,0,1,0,,,,,,
123724,2,2,0,0,2,2,0,0,0,,,,,,
123762,2,1,1,2,0,0,0,1,1,1.0,0.0,1.0,1.0,,1.0
123786,3,0,3,2,1,0,1,0,2,5.0,2.0,3.0,1.6666666666666667,2.0,1.5
123789,1,1,0,0,1,1,0,0,0,,,,,,
123811,5,4,1,4,1,0,1,4,0,7.0,7.0,0.0,7.0,7.0,
123840,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
123850,4,1,3,0,4,1,3,0,0,15.0,15.0,0.0,5.0,5.0,
123872,1,0,1,1,0,0,0,0,1,7.0,0.0,7.0,7.0,,7.0
123912,1,1,0,0,1,1,0,0,0,,,,,,
123915,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
123918,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
123941,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
123971,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
124014,1,1,0,0,1,1,0,0,0,,,,,,
124027,2,0,2,2,0,0,0,0,2,6.0,0.0,6.0,3.0,,3.0
124069,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
124098,2,2,0,2,0,0,0,2,0,,,,,,
124102,6,2,4,0,6,2,4,0,0,79.0,79.0,0.0,19.75,19.75,
124122,6,5,1,6,0,0,0,5,1,5.0,0.0,5.0,5.0,,5.0
124130,9,3,6,3,6,2,4,1,2,19.0,15.0,4.0,3.1666666666666665,3.75,2.0
124163,2,0,2,1,1,0,1,0,1,5.0,1.0,4.0,2.5,1.0,4.0
124172,1,1,0,0,1,1,0,0,0,,,,,,
124225,3,2,1,3,0,0,0,2,1,2.0,0.0,2.0,2.0,,2.0
124260,2,0,2,2,0,0,0,0,2,6.0,0.0,6.0,3.0,,3.0
124317,1,1,0,1,0,0,0,1,0,,,,,,
124352,1,0,1,1,0,0,0,0,1,10.0,0.0,10.0,10.0,,10.0
124361,1,1,0,0,1,1,0,0,0,,,,,,
124365,1,1,0,0,1,1,0,0,0,,,,,,
124375,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
124388,1,1,0,0,1,1,0,0,0,,,,,,
124433,2,0,2,0,2,0,2,0,0,4.0,4.0,0.0,2.0,2.0,
124445,1,0,1,1,0,0,0,0,1,3.0,0.0,3.0,3.0,,3.0
124456,1,1,0,0,1,1,0,0,0,,,,,,
124546,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
124567,1,1,0,0,1,1,0,0,0,,,,,,
124615,1,1,0,1,0,0,0,1,0,,,,,,
124796,1,0,1,1,0,0,0,0,1,5.0,0.0,5.0,5.0,,5.0
124848,1,1,0,0,1,1,0,0,0,,,,,,
124882,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
124905,1,1,0,0,1,1,0,0,0,,,,,,
124923,14,14,0,4,10,10,0,4,0,,,,,,
124952,6,6,0,6,0,0,0,6,0,,,,,,
124979,1,1,0,1,0,0,0,1,0,,,,,,
124995,1,1,0,1,0,0,0,1,0,,,,,,
125025,5,1,4,5,0,0,0,1,4,23.0,0.0,23.0,5.75,,5.75
125035,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
125037,3,3,0,0,3,3,0,0,0,,,,,,
125041,1,1,0,0,1,1,0,0,0,,,,,,
125059,10,6,4,5,5,4,1,2,3,22.0,9.0,13.0,5.5,9.0,4.333333333333333
125081,1,0,1,0,1,0,1,0,0,6.0,6.0,0.0,6.0,6.0,
125157,1,1,0,0,1,1,0,0,0,,,,,,
125172,1,1,0,1,0,0,0,1,0,,,,,,
125182,2,1,1,0,2,1,1,0,0,1.0,1.0,0.0,1.0,1.0,
125185,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
125198,2,1,1,0,2,1,1,0,0,1.0,1.0,0.0,1.0,1.0,
125255,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
125260,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
125272,3,3,0,0,3,3,0,0,0,,,,,,
125285,3,3,0,3,0,0,0,3,0,,,,,,
125318,1,1,0,1,0,0,0,1,0,,,,,,
125367,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
125372,1,1,0,1,0,0,0,1,0,,,,,,
125376,7,0,7,0,7,0,7,0,0,5.0,5.0,0.0,0.7142857142857143,0.7142857142857143,
125417,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
125451,1,0,1,0,1,0,1,0,0,7.0,7.0,0.0,7.0,7.0,
125458,9,9,0,9,0,0,0,9,0,,,,,,
125483,4,3,1,1,3,2,1,1,0,6.0,6.0,0.0,6.0,6.0,
125500,1,1,0,0,1,1,0,0,0,,,,,,
125502,4,4,0,4,0,0,0,4,0,,,,,,
125556,1,1,0,0,1,1,0,0,0,,,,,,
125580,1,0,1,0,1,0,1,0,0,5.0,5.0,0.0,5.0,5.0,
125627,1,1,0,0,1,1,0,0,0,,,,,,
125634,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
125640,3,3,0,0,3,3,0,0,0,,,,,,
125644,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
125689,1,1,0,0,1,1,0,0,0,,,,,,
125756,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,,0.0
125777,1,1,0,0,1,1,0,0,0,,,,,,
125791,3,1,2,0,3,1,2,0,0,7.0,7.0,0.0,3.5,3.5,
125796,1,1,0,1,0,0,0,1,0,,,,,,
125798,1,1,0,0,1,1,0,0,0,,,,,,
125846,1,1,0,0,1,1,0,0,0,,,,,,
125858,1,1,0,0,1,1,0,0,0,,,,,,
