EID,WSPROCOUNT,BSPROCOUNT,PROCOUNT
172440,1,1,2
172532,,2,2
172772,,2,2
172836,,9,9
172909,,1,1
172941,1,4,5
172951,1,,1
173112,1,2,3
173175,1,,1
173259,2,6,8
173364,1,,1
173520,,1,1
173578,,1,1
173702,,1,1
173805,,1,1
173919,6,2,8
173984,1,,1
173996,8,1,9
174040,,1,1
174068,11,1,12
174372,,1,1
174387,2,,2
174400,6,1,7
174422,,1,1
174495,,1,1
174626,1,,1
174638,2,,2
175030,,1,1
175158,6,2,8
175164,1,,1
175169,6,1,7
175236,13,6,19
175245,,5,5
175278,2,3,5
175337,,1,1
175516,,1,1
175604,32,15,47
175674,,1,1
175697,,3,3
176053,2,1,3
176132,,1,1
176207,1,69,70
176213,,2,2
176303,1,,1
176348,3,2,5
176746,,2,2
176863,2,,2
176896,,1,1
177104,,2,2
177152,,1,1
177411,3,,3
177546,,1,1
177642,,1,1
177784,4,2,6
177817,3,,3
177821,,1,1
177910,3,,3
177971,2,,2
178227,,1,1
178229,,1,1
178284,,1,1
178355,2,1,3
178412,,4,4
178574,1,15,16
178718,,11,11
178890,,1,1
178903,1,,1
179007,,2,2
179021,2,,2
179168,,1,1
179207,,1,1
179215,1,,1
179229,15,6,21
179472,1,,1
179598,1,,1
179607,,2,2
179608,,2,2
179639,14,3,17
179725,1,,1
179800,,2,2
179875,,7,7
179894,,2,2
179982,,1,1
180062,5,4,9
180102,,1,1
180114,,2,2
180777,,1,1
180806,9,,9
180821,1,1,2
180834,,2,2
180890,2,13,15
180928,3,,3
180954,,1,1
181048,1,,1
181339,,3,3
181402,2,1,3
181531,,1,1
181545,2,5,7
181622,1,,1
181745,,2,2
181825,,1,1
181913,2,,2
181937,26,,26
181948,1,,1
182005,,2,2
182111,2,,2
182130,,1,1
182203,1,19,20
182233,1,,1
182323,1,,1
182345,,2,2
182520,,2,2
182618,,1,1
182636,,1,1
182817,,11,11
182835,,1,1
182978,,1,1
183014,5,,5
183100,,1,1
183231,1,4,5
183238,,1,1
183315,,4,4
183524,,15,15
183554,1,3,4
183922,,5,5
184082,1,3,4
184086,,2,2
184218,,1,1
184249,,1,1
184283,,1,1
184625,2,1,3
184656,,1,1
184820,,1,1
185008,,1,1
185097,4,,4
185119,,1,1
185163,,12,12
185213,1,,1
185459,,1,1
185569,,1,1
185755,1,,1
185791,6,4,10
185818,,4,4
185830,,2,2
185896,,1,1
185915,,2,2
186039,,1,1
186059,1,1,2
186116,,1,1
186154,3,9,12
186184,,17,17
186499,2,5,7
186525,,2,2
186565,,5,5
186741,2,,2
186813,,2,2
186940,,1,1
187026,,1,1
187080,,3,3
187152,,2,2
187321,,7,7
187659,,1,1
187903,2,,2
187938,1,,1
188179,,1,1
188250,,1,1
188379,,3,3
188486,1,,1
188572,,1,1
188847,2,50,52
189017,1,,1
189086,2,1,3
189245,3,,3
189293,,3,3
189446,,1,1
189575,,1,1
189621,7,,7
189684,,1,1
189842,,1,1
189920,2,,2
190076,4,,4
190129,,1,1
190431,17,,17
190447,,2,2
190457,11,1,12
190610,,3,3
190762,,1,1
190771,,8,8
190851,,1,1
190946,,1,1
191418,1,7,8
191520,,1,1
191539,,1,1
191546,1,3,4
191738,,3,3
191808,,1,1
191854,,1,1
192133,1,,1
192227,,3,3
192286,,4,4
192609,12,,12
192627,,1,1
192948,,1,1
193119,,1,1
193205,1,,1
193221,,1,1
193253,3,2,5
193292,1,,1
193549,,10,10
193828,,4,4
193854,,1,1
193945,,1,1
194158,,3,3
194170,,1,1
194171,,2,2
194179,,1,1
194215,,5,5
194381,,1,1
194490,,1,1
194505,9,6,15
194882,,8,8
194890,,2,2
194920,,1,1
195016,,1,1
195273,,2,2
195277,,1,1
195354,,1,1
195386,1,,1
195574,,2,2
195581,,1,1
195613,1,1,2
195660,,1,1
195675,,1,1
195710,1,,1
195754,1,,1
195951,,7,7
196010,,4,4
196248,10,,10
196283,1,,1
196436,,1,1
196595,,3,3
196760,,1,1
196865,,1,1
196923,20,38,58
197100,5,2,7
197108,2,,2
197383,,1,1
197428,5,,5
197587,,2,2
197740,,1,1
198014,,1,1
198120,,1,1
198270,3,,3
198313,,1,1
198450,,1,1
198505,,1,1
198633,2,,2
198775,,4,4
198790,,1,1
198984,2,3,5
199050,,2,2
199291,,1,1
199316,,4,4
199541,,1,1
199558,,1,1
199567,,10,10
199721,1,,1
199903,2,,2
199932,,1,1
199968,,2,2
199974,1,,1
200016,1,,1
200037,2,,2
200157,,4,4
200166,,1,1
200201,,1,1
200209,1,,1
200289,1,,1
200365,,2,2
200484,,1,1
200805,2,,2
200845,5,1,6
200858,1,,1
200891,2,,2
200911,,1,1
200918,25,15,40
201340,,1,1
201474,1,,1
201477,,2,2
201540,1,,1
201649,1,,1
201656,,2,2
201674,14,14,28
201702,,1,1
201758,,2,2
201801,,1,1
201904,,1,1
201982,,1,1
202204,6,1,7
202367,,2,2
202389,10,,10
202524,4,,4
202530,1,,1
202644,,1,1
202730,,1,1
203039,2,,2
203115,,1,1
203170,2,2,4
203712,145,25,170
203775,,6,6
203979,,4,4
204074,,1,1
204157,,2,2
204377,,1,1
204424,,19,19
204612,3,,3
204615,9,,9
204789,,7,7
204940,1,3,4
205129,,2,2
205166,9,11,20
205206,,1,1
205520,2,,2
205552,1,,1
205575,,1,1
205745,4,,4
205922,,2,2
205932,,3,3
206832,,1,1
207068,2,3,5
207256,1,,1
207342,,1,1
207447,,1,1
207517,1,,1
207579,1,2,3
207811,,1,1
207881,1,1,2
207945,2,,2
207992,,1,1
208095,,1,1
208119,,1,1
208184,4,4,8
208192,3,70,73
208243,1,3,4
208250,,1,1
208320,,4,4
208438,6,124,130
208567,,2,2
208614,,1,1
208720,,1,1
208780,1,,1
208814,,2,2
209158,,3,3
209241,,3,3
209256,,6,6
209305,,1,1
209339,,3,3
209505,,1,1
209620,5,3,8
210023,,2,2
210101,,1,1
210167,1,,1
210321,1,1,2
210341,,3,3
210379,,1,1
210541,1,,1
210647,,3,3
210726,,2,2
210818,,5,5
211196,,55,55
211223,,2,2
211257,,1,1
211283,,8,8
211284,1,,1
211475,6,2,8
211583,,4,4
211713,,1,1
211743,,5,5
211946,,3,3
212022,,1,1
212119,1,,1
212238,,17,17
212344,1,,1
212428,,2,2
212530,,4,4
212702,,1,1
212878,,2,2
212888,,1,1
212975,,1,1
213045,1,,1
213067,,21,21
213145,,5,5
213223,,1,1
213227,4,,4
213248,,1,1
213381,,2,2
213396,,4,4
213435,,10,10
213449,,1,1
213539,,4,4
213552,,1,1
213786,1,,1
213948,,1,1
214095,2,,2
214116,,1,1
214224,,2,2
214314,,1,1
214367,,2,2
214401,1,1,2
214445,,7,7
214501,1,,1
214518,,2,2
214893,1,,1
215259,,4,4
215267,2,,2
215496,,1,1
215769,1,,1
215800,3,,3
216174,2,9,11
216254,1,40,41
216351,,1,1
216450,,6,6
216566,,1,1
217058,3,28,31
217200,3,,3
217226,1,,1
217295,2,,2
217332,,2,2
217339,,5,5
217576,2,1,3
217845,2,,2
217900,,1,1
217946,,1,1
218212,,27,27
218326,,3,3
218352,8,,8
218463,2,5,7
218479,7,,7
218498,,1,1
218549,2,3,5
218551,1,,1
218575,749,89,838
218721,13,4,17
218740,,1,1
218790,,1,1
218903,7,,7
218963,,1,1
219010,,13,13
219167,1,,1
219291,2,,2
219378,,2,2
219379,1,,1
219444,1,1,2
219458,,1,1
219734,,1,1
219934,,1,1
220041,1,1,2
220082,,6,6
220140,,1,1
220179,,1,1
220190,2,,2
220244,5,1,6
220298,,1,1
220308,1,,1
220369,3,1,4
220377,1,10,11
220544,,5,5
220600,5,,5
220616,1,,1
220657,,1,1
220668,,1,1
220896,2,,2
221295,,4,4
221347,1,,1
221429,1,,1
221500,2,2,4
221795,6,1,7
222165,,1,1
222228,20,22,42
222499,1,,1
222548,,1,1
222607,,1,1
222748,3,6,9
222841,,2,2
223304,14,,14
223344,,1,1
223345,,1,1
223467,6,2,8
223661,1,,1
223707,,1,1
223821,2,,2
223909,,2,2
223943,7,2,9
224070,,3,3
224166,1,,1
224236,1,,1
224258,,1,1
224299,1,,1
224375,,1,1
224519,,3,3
224584,27,3,30
224853,,6,6
225186,,6,6
225187,,1,1
225407,1,,1
225464,8,3,11
225594,,1,1
225596,,1,1
225601,,8,8
225619,5,5,10
225695,1,,1
225948,,1,1
225977,7,1,8
226038,1,,1
226069,,1,1
226081,5,,5
226299,1,,1
226378,,12,12
226429,2,,2
226487,1,5,6
226505,,1,1
226517,,6,6
226554,,1,1
226582,,3,3
226591,,24,24
226699,,1,1
226714,,1,1
226759,2,,2
227163,,17,17
227362,,5,5
227364,1,,1
227492,,1,1
227510,,4,4
227599,3,,3
227620,1,,1
227649,,2,2
227774,,1,1
227858,,5,5
227975,2,,2
228018,,2,2
228025,,1,1
228105,,5,5
228128,2,2,4
228519,,1,1
228570,2,,2
228639,3,,3
228733,4,,4
228834,,1,1
228998,,1,1
229093,1,,1
229184,,2,2
229304,1,,1
229313,1,,1
229410,,1,1
229479,4,,4
229509,,1,1
229638,,2,2
229817,,6,6
229878,,2,2
229895,,1,1
229917,1,1,2
230124,,1,1
230151,,1,1
230198,,9,9
230272,,2,2
230278,,1,1
230315,,1,1
230322,1,,1
230405,9,2,11
230556,,4,4
230577,,2,2
230838,,2,2
231014,2,4,6
231021,,1,1
231064,,1,1
231139,26,,26
231270,,3,3
231458,6,1,7
231673,,1,1
231693,3,214,217
231876,,1,1
231912,2,,2
231966,,3,3
232029,3,,3
232256,11,,11
232496,1,,1
232599,1,,1
232911,5,49,54
232918,17,,17
232955,,1,1
233360,8,3,11
233467,,1,1
233703,8,,8
233706,,1,1
233873,6,,6
233957,,10,10
234071,,1,1
234228,5,3,8
234339,2,16,18
234375,,1,1
234433,,3,3
234518,6,,6
234574,1,,1
234694,,2,2
234871,1,,1
234963,2,,2
235021,1,7,8
235167,,1,1
235360,,1,1
235447,,3,3
235743,,1,1
235770,1,,1
235930,,1,1
235992,,1,1
236172,2,,2
236196,2,2,4
236280,,1,1
236385,,1,1
236396,,1,1
236829,,2,2
237025,,1,1
237162,5,,5
237299,2,,2
237609,,1,1
237695,1,,1
237726,,3,3
237839,,1,1
238075,19,6,25
238085,,1,1
238132,1,,1
238157,,1,1
238497,1,1,2
238555,,1,1
238607,3,,3
238697,1,,1
238709,,5,5
238834,,1,1
239238,,3,3
239294,,1,1
239435,1,,1
239541,,1,1
239617,,12,12
239618,,1,1
239673,,2,2
239729,1,5,6
239974,,1,1
240251,1,,1
240340,,1,1
240489,,3,3
240624,,9,9
240754,101,41,142
240782,,2,2
241039,,3,3
241090,5,2,7
241181,,11,11
241366,3,,3
241381,3,7,10
241403,,1,1
241417,,18,18
241419,,7,7
241481,2,,2
241625,2,,2
241699,,1,1
241737,9,1,10
241767,,3,3
242199,1,,1
242357,1,,1
242369,,1,1
242493,1,,1
242511,,1,1
242524,,1,1
242661,2,1,3
242681,,1,1
242702,,3,3
242737,1,,1
242776,2,6,8
242794,9,25,34
242901,,2,2
242904,,5,5
242914,1,,1
243024,,1,1
243034,,5,5
243391,,1,1
243419,,1,1
243453,3,2,5
243489,2,2,4
243496,4,2,6
243526,,1,1
243550,,1,1
243802,,1,1
243809,,1,1
243999,,3,3
244030,,1,1
244184,1,,1
244199,4,,4
244261,,1,1
244335,1,2,3
244352,1,,1
244648,1,,1
244780,3,11,14
244912,1,,1
245037,,3,3
245310,2,,2
245496,,1,1
245520,14,2,16
245563,6,6,12
245845,,1,1
245906,,1,1
246102,1,,1
246112,1,,1
246310,1,,1
246580,,1,1
246698,1,1,2
246831,,1,1
246901,,1,1
247014,,3,3
247613,1,,1
247727,,1,1
247773,,1,1
247793,,7,7
248008,,1,1
248053,,7,7
248067,,2,2
248097,,2,2
248241,,3,3
248280,2,,2
248373,5,8,13
248418,,1,1
248490,,1,1
248512,,1,1
248625,,1,1
248768,,4,4
248852,,1,1
248853,2,,2
248888,12,12,24
248890,,3,3
249517,,1,1
249521,3,,3
249659,,2,2
249868,1,2,3
250173,,1,1
250262,2,,2
250286,,5,5
250346,,1,1
250511,,1,1
250625,1,2,3
250729,,4,4
250760,,2,2
250908,,1,1
250928,,6,6
251022,3,,3
251045,,1,1
251238,,1,1
251261,,6,6
251393,,2,2
251474,,1,1
251658,8,29,37
251682,,2,2
251917,1,,1
251994,,1,1
252085,44,42,86
252134,,5,5
252316,1,,1
252355,,1,1
252364,,1,1
252460,4,,4
252547,,1,1
252559,1,,1
252710,,2,2
252712,,2,2
252765,2,7,9
252825,1,4,5
252903,,16,16
252920,,1,1
252922,,1,1
253029,,3,3
253089,,1,1
253120,1,,1
253233,8,,8
253298,1,2,3
253326,,1,1
253336,1,,1
253353,,1,1
253434,1,,1
253535,1,,1
253548,2,,2
253986,4,11,15
254136,,2,2
254165,,1,1
254883,,1,1
254937,,1,1
255090,1,,1
255158,1,,1
255174,2,,2
255184,,1,1
255279,1,20,21
255621,1,,1
255717,1,1,2
256028,2,10,12
256159,6,,6
257089,,1,1
257108,,1,1
257133,,31,31
257219,,4,4
257222,1,,1
257415,1,,1
257422,,2,2
257538,,1,1
257599,1,,1
257651,1,7,8
257864,2,,2
258067,,2,2
258074,,1,1
258102,1,,1
258148,1,,1
258227,,1,1
258298,1,,1
258354,,1,1
258443,,2,2
258457,1,,1
258541,2,,2
258585,,18,18
258623,6,1,7
258691,1,,1
258784,,3,3
258899,1,,1
258938,1,,1
258942,,1,1
258966,1,1,2
259342,,2,2
259386,2,,2
259448,1,2,3
259517,,1,1
259635,1,1,2
259702,11,,11
259727,,2,2
259860,1,,1
259932,,1,1
259998,,1,1
260167,,1,1
260351,1,1,2
260405,2,1,3
260480,3,,3
260565,2,67,69
260628,,8,8
260901,1,1,2
260905,3,,3
261011,,2,2
261032,1,,1
261040,1,,1
261251,8,,8
261284,,4,4
261477,,1,1
261618,,1,1
261766,,1,1
261811,,1,1
261885,12,26,38
262090,3,,3
262308,1,,1
262361,2,,2
262577,1,,1
262682,1,,1
262713,,2,2
262750,,1,1
262939,,1,1
263045,,6,6
263084,1,1,2
263088,,1,1
263210,,1,1
263283,,1,1
263507,1,,1
263600,,1,1
263725,,1,1
263756,,6,6
263931,2,,2
264017,3,,3
264019,,6,6
264205,,1,1
264216,,1,1
264333,,1,1
264882,,2,2
264929,,1,1
265146,,2,2
265156,1,,1
265225,2,1,3
265277,,4,4
265423,2,,2
265517,,2,2
265626,,1,1
265989,,2,2
266071,,2,2
266116,,3,3
266120,,4,4
266145,,25,25
266232,,5,5
266519,,1,1
266600,,1,1
266612,,1,1
266613,,1,1
266730,1,,1
266949,,41,41
267227,,1,1
267310,,2,2
267356,,1,1
267400,2,3,5
267541,,1,1
267593,,1,1
267769,8,,8
267853,,1,1
267915,2,,2
268053,1,,1
268493,,2,2
268540,24,,24
268683,1,26,27
268741,,1,1
268772,,2,2
268808,,3,3
268859,,1,1
268872,,2,2
268903,,2,2
269054,1,1,2
269219,,3,3
269240,1,,1
269296,1,,1
269361,1,1,2
269390,1,,1
269469,2,3,5
269513,,1,1
269618,,3,3
269737,3,2,5
269785,41,1,42
269801,,1,1
269816,,2,2
269879,1,,1
269943,,5,5
270064,,41,41
270148,,1,1
270162,,3,3
270240,,1,1
270292,,1,1
270344,32,44,76
270489,,8,8
270566,,1,1
270592,,15,15
270676,,2,2
270717,,1,1
270733,,3,3
270734,,3,3
270808,,2,2
271396,,1,1
271488,,3,3
271525,1,,1
271531,8,,8
271576,,2,2
271583,,3,3
271585,,1,1
271751,,4,4
271899,,1,1
271910,,2,2
271928,,1,1
272004,,2,2
272030,1,,1
272084,2,,2
272124,,3,3
272137,,1,1
272197,,1,1
272420,,1,1
272441,1,,1
272511,,15,15
272582,,2,2
272663,,1,1
272929,,1,1
272980,,1,1
273016,,1,1
273129,,1,1
273205,,1,1
273235,,1,1
273295,1,,1
273471,11,1,12
273882,1,,1
274117,,1,1
274385,13,,13
274650,9,1,10
274812,2,,2
274894,1,1,2
274991,2,,2
275173,1,,1
275358,5,,5
275585,1,,1
275757,,1,1
275823,,1,1
275854,1,,1
275969,2,2,4
276056,,1,1
276212,,2,2
276280,,1,1
276316,4,,4
276370,1,,1
276456,1,,1
276555,,1,1
276599,,1,1
276671,,11,11
276786,,5,5
276834,,23,23
276927,,1,1
277105,,6,6
277125,,2,2
277139,4,,4
277257,,1,1
277383,,4,4
277437,,2,2
277585,,1,1
277677,,2,2
278143,4,,4
278466,,4,4
278521,,1,1
278565,1,,1
278652,1,2,3
278843,1,2,3
279058,,1,1
279098,4,22,26
279374,1,,1
279598,,2,2
279634,8,1,9
280030,2,,2
280227,,5,5
280313,2,,2
280391,,1,1
280474,,1,1
280734,3,,3
281062,,2,2
281088,1,,1
281220,2,,2
281244,1,,1
281847,,3,3
281901,,4,4
281931,,1,1
282076,,1,1
282077,6,13,19
282117,,1,1
282212,1,3,4
282304,,1,1
282317,1,,1
282349,,1,1
282494,,5,5
282642,1,1,2
283017,1,,1
283064,30,11,41
283174,1,,1
283212,,5,5
283233,,2,2
283395,1,8,9
283492,,1,1
283506,1,2,3
283566,3,,3
283838,2,,2
283868,,28,28
283888,1,,1
284069,9,1,10
284078,,1,1
284258,,1,1
284358,3,,3
284495,,4,4
284502,2,,2
284584,1,25,26
284817,,1,1
285074,4,1,5
285109,9,,9
285233,2,5,7
285341,,7,7
285856,1,2,3
285868,,1,1
285872,,1,1
286011,,1,1
286144,,8,8
286286,,2,2
286289,,1,1
286538,,1,1
286543,1,2,3
286629,,4,4
286717,1,,1
286747,,1,1
286850,,1,1
286938,,1,1
287200,1,,1
287366,,2,2
287405,,1,1
287440,,9,9
287525,,2,2
287553,,2,2
287600,2,,2
287713,5,,5
288007,1,,1
288139,2,,2
288147,,1,1
288176,1,,1
288246,,1,1
288312,1,3,4
288343,,1,1
288381,,1,1
288387,,3,3
288515,,6,6
288748,1,2,3
288989,,1,1
289015,,1,1
289277,,1,1
289299,,1,1
289414,,2,2
289524,,8,8
289530,3,5,8
289615,1,,1
289711,2,,2
289757,,1,1
289779,1,,1
289901,1,,1
290061,1,,1
290154,,1,1
290337,1,4,5
290407,,3,3
290593,1,2,3
290607,,1,1
290628,1,,1
290847,,1,1
290881,,2,2
291254,4,,4
291597,,1,1
292029,,1,1
292045,,12,12
292137,4,,4
292166,,15,15
292526,,3,3
292551,1,,1
292677,1,,1
292964,,6,6
293045,,1,1
293455,9,,9
293528,,1,1
293529,,3,3
293535,,20,20
293567,,1,1
293740,,1,1
293846,1,,1
293863,1,,1
293882,,2,2
293957,,2,2
294030,,2,2
294094,,1,1
294131,2,,2
294392,2,,2
294541,1,,1
294696,,3,3
294759,2,1,3
294806,,4,4
294909,1,,1
295300,,10,10
295370,5,,5
295376,,2,2
295383,2,,2
295590,,1,1
295757,,3,3
295824,,27,27
295876,,1,1
295933,,9,9
296086,1,,1
296109,,1,1
296131,,17,17
296183,,4,4
296202,1,5,6
296317,1,,1
296320,5,,5
296446,1,1,2
296509,1,,1
296622,21,2,23
296749,6,2,8
296988,,1,1
297080,,2,2
297105,4,,4
297273,1,,1
297697,,1,1
297841,1,,1
298038,2,3,5
298282,,1,1
298491,3,,3
298506,,2,2
298526,,1,1
298945,,1,1
298970,3,23,26
298972,3,1,4
299089,,1,1
299102,,2,2
299139,,4,4
299199,1,4,5
299239,,3,3
299260,1,1,2
299453,,2,2
299485,4,7,11
299700,,1,1
299729,1,,1
299820,,1,1
299834,6,,6
299899,,1,1
300093,1,,1
300336,1,3,4
300391,,10,10
300445,,1,1
300492,1,,1
300598,1,,1
300606,2,,2
300773,,1,1
300790,,1,1
300911,,2,2
301003,,1,1
301197,1,2,3
301269,,2,2
301463,,15,15
301516,,1,1
301622,1,2,3
301850,3,,3
301948,,1,1
302007,,2,2
302038,,1,1
302184,,3,3
302375,,2,2
302458,4,13,17
302778,,1,1
302783,,2,2
302844,,1,1
303275,1,,1
303658,,1,1
303693,1,,1
303717,,1,1
303840,3,,3
303859,1,,1
303882,,1,1
303997,,1,1
304061,,1,1
304118,,2,2
304488,8,,8
304590,1,9,10
304735,1,2,3
304948,,2,2
305026,3,,3
305186,6,,6
305268,2,,2
305293,,1,1
305326,,1,1
305477,,46,46
305634,,1,1
305863,4,,4
306108,28,1,29
306118,,1,1
306562,,1,1
306567,,3,3
306626,,3,3
306726,,7,7
306788,14,,14
306821,,2,2
306911,,2,2
307123,,2,2
307156,2,,2
307195,1,,1
307252,1,3,4
307466,1,,1
307517,19,32,51
307548,,1,1
307705,,1,1
307824,,3,3
307858,,1,1
308022,,1,1
308083,,1,1
308099,1,,1
308131,4,,4
308447,,1,1
308455,1,1,2
308571,3,,3
308696,,1,1
308721,,10,10
308728,,4,4
308908,2,3,5
309286,3,,3
309337,,5,5
309548,,2,2
309581,160,16,176
309598,,1,1
309748,,4,4
309761,,1,1
309840,,4,4
310223,,1,1
310353,2,,2
310384,,3,3
310392,,1,1
310454,,1,1
310455,,1,1
310484,2,4,6
310498,2,,2
310502,,4,4
310656,,2,2
310669,,1,1
310789,1,,1
310820,,11,11
310965,,1,1
311050,,2,2
311198,1,,1
311311,1,,1
311434,,4,4
311528,1,,1
311636,,1,1
311793,2,,2
311860,3,1,4
311952,,2,2
312014,,1,1
312244,,6,6
312351,7,3,10
312379,,2,2
312628,,7,7
312724,,1,1
313105,,3,3
313130,,3,3
313156,,2,2
313276,1,1,2
313390,,1,1
313397,,1,1
313434,,2,2
313980,,1,1
313985,,1,1
314123,,23,23
314167,2,1,3
314203,3,1,4
314255,,1,1
314286,7,,7
314361,,1,1
314395,,4,4
314452,,1,1
314474,1,2,3
314504,1,,1
314517,1,,1
314717,,1,1
314962,,1,1
315082,1,,1
315093,,3,3
315242,,2,2
315319,,1,1
315330,1,,1
315534,,1,1
315555,,1,1
315612,,1,1
315874,2,,2
316104,4,,4
316291,,1,1
316503,,1,1
316505,,4,4
316562,,15,15
316680,2,,2
316924,5,,5
317010,,4,4
317027,,2,2
317231,2,3,5
317236,,1,1
317244,,1,1
317313,,1,1
317340,3,2,5
317380,6,66,72
317653,,2,2
317661,4,130,134
317767,,2,2
318109,,11,11
318181,5,,5
318240,,1,1
318258,,5,5
318394,,12,12
318528,6,5,11
318633,3,,3
318709,1,5,6
318808,2,1,3
318875,,1,1
319128,1,,1
319419,3,2,5
319448,2,,2
319553,1,,1
319768,3,1,4
319971,1,,1
320048,1,,1
320073,,1,1
320325,,1,1
320381,,3,3
320545,,2,2
320596,,4,4
320636,1,,1
320724,1,,1
320925,63,9,72
321056,,1,1
321156,,1,1
321221,1,,1
321303,1,,1
321561,11,7,18
321581,1,,1
321696,5,,5
321760,,1,1
321797,3,,3
321908,1,,1
321914,,1,1
322063,2,,2
322136,,1,1
322272,1,,1
322309,,4,4
322373,,5,5
322389,,6,6
322440,,2,2
322480,,1,1
322659,,1,1
322941,,3,3
322954,1,,1
322963,,1,1
323001,,1,1
323039,1,1,2
323184,152,45,197
323328,,2,2
323540,,1,1
323637,1,,1
324085,,1,1
324154,1,6,7
324225,,1,1
324362,1,,1
324390,,1,1
324406,,102,102
324407,,2,2
324484,,1,1
324570,1,3,4
324807,,1,1
324845,1,,1
324873,,1,1
324930,1,,1
324939,,1,1
325020,,10,10
325034,40,,40
325103,,1,1
325193,,2,2
325579,2,,2
325780,1,,1
325797,,1,1
325802,,1,1
325941,66,33,99
325973,,3,3
326134,,2,2
326157,,2,2
326161,5,5,10
326288,1,,1
326378,3,,3
326692,,2,2
326845,17,21,38
326873,5,20,25
326907,,10,10
326911,4,,4
326927,,1,1
326931,1,,1
326932,1,10,11
327039,,2,2
327084,,4,4
327096,1,,1
327114,,1,1
327115,2,,2
327184,,9,9
327255,2,,2
327379,,1,1
327442,,1,1
327585,1,,1
327641,1,,1
327811,,2,2
327835,1,2,3
328035,,1,1
328088,2,,2
328116,1,,1
328304,,3,3
328318,,3,3
328459,,6,6
328521,1,,1
329101,,1,1
329224,8,1,9
329454,1,,1
329569,,4,4
329706,1,,1
329741,1,,1
329806,,1,1
329846,,1,1
329865,1,,1
329893,,6,6
329936,,1,1
329951,,1,1
330296,,2,2
330515,,7,7
330517,2,2,4
330532,,1,1
330583,,2,2
330653,3,3,6
330715,,3,3
330741,,1,1
331131,1,,1
331190,11,3,14
331623,,1,1
331739,,1,1
331757,1,,1
331828,,2,2
331859,,1,1
331994,7,1,8
332136,,1,1
332172,5,,5
332176,,1,1
332307,2,,2
332342,,1,1
332432,1,,1
332585,,1,1
332768,1,,1
332892,1,,1
332951,,1,1
333018,1,,1
333049,,2,2
333155,,1,1
333164,3,,3
333238,2,,2
333290,,1,1
333373,,7,7
333395,,14,14
333656,1,,1
333738,,3,3
333887,,1,1
334028,,1,1
334252,,1,1
334377,,2,2
334380,,1,1
334529,,1,1
334941,97,8,105
335045,1,,1
335116,,4,4
335119,2,,2
335176,,8,8
335355,1,2,3
335501,,1,1
335522,,1,1
335563,4,4,8
335667,6,,6
335697,2,,2
335713,,3,3
335758,1,7,8
335768,,4,4
335881,1,,1
335891,2,,2
336040,,1,1
336073,2,1,3
336166,,1,1
336275,,8,8
336380,14,2,16
336563,,1,1
336668,14,7,21
336679,2,,2
336771,2,,2
336971,,1,1
337143,,2,2
337334,2,2,4
337341,,5,5
337612,,1,1
337776,,1,1
337786,3,2,5
337827,,1,1
337983,2,,2
338100,,1,1
338242,,1,1
338325,,3,3
338383,,2,2
338432,2,,2
338501,,18,18
338612,,1,1
338665,1,,1
338780,7,2,9
338932,1,,1
338944,2,,2
338976,,1,1
338981,7,,7
339015,1,,1
339514,1,,1
339593,,6,6
339756,,1,1
339778,,1,1
339822,,1,1
339867,1,4,5
340003,,1,1
340136,1,,1
340208,,2,2
340239,3,,3
340339,12,16,28
340350,,2,2
340491,10,7,17
340637,,3,3
340661,1,,1
341312,10,,10
341628,,4,4
341694,,1,1
342099,14,91,105
342113,1,,1
342153,3,2,5
342420,,1,1
342456,,2,2
342507,,1,1
342556,,2,2
342620,1,,1
342705,,2,2
342751,1,,1
342805,,10,10
343005,,1,1
343081,14,14,28
343440,,4,4
343448,,1,1
343645,38,3,41
343813,,1,1
344054,,19,19
344240,3,1,4
344422,1,7,8
344483,,1,1
344519,,1,1
344526,1,,1
344551,,9,9
344774,1,,1
344973,2,,2
345033,1,3,4
345212,25,4,29
345359,,6,6
345727,1,,1
345816,,1,1
345837,,1,1
345908,,4,4
346194,,2,2
346639,,1,1
346861,2,1,3
346863,1,,1
346958,,3,3
346967,6,,6
347083,1,,1
347141,1,,1
347153,1,,1
347289,,4,4
347329,,2,2
347417,,2,2
347451,,3,3
347573,1,18,19
347629,,8,8
347949,92,39,131
348056,97,15,112
348121,,54,54
348486,1,,1
348547,,1,1
348587,,2,2
348851,,1,1
348902,,1,1
349184,,5,5
349202,,1,1
349598,,1,1
349625,,7,7
349770,7,,7
349968,,1,1
349989,3,1,4
350024,1,,1
350046,2,,2
350227,,2,2
350235,,1,1
350265,,1,1
350516,,1,1
350578,,9,9
350625,1,,1
350661,,2,2
350710,1,,1
350839,1,,1
350936,3,3,6
350977,2,11,13
351203,3,,3
351465,,1,1
351471,,3,3
351492,1,,1
351539,1,3,4
351724,,1,1
351773,,5,5
351909,1,,1
351928,8,4,12
352004,,1,1
352008,,2,2
352106,,3,3
352110,,1,1
352327,3,,3
352441,1,,1
352744,,1,1
352795,,4,4
352912,1,,1
352928,,1,1
353016,2,,2
353156,,7,7
353207,,1,1
353218,,1,1
353223,,1,1
353345,67,21,88
353450,2,,2
353469,1,4,5
353555,,2,2
353628,,1,1
353685,,4,4
353716,,3,3
353737,,1,1
353831,2,,2
353897,,1,1
353941,,10,10
353970,1,,1
354184,,1,1
354249,,1,1
354434,,1,1
354456,,1,1
354605,,2,2
